pk_text,firstLine,textTitle,refrainFirstLine,languages,authors_1,authors_2,authors_3,authors_4,meter,textAuthNumber,textSources
530,"Father, direct my ways","","",,"Sarah Elizabeth Miles","",,,,father_direct_my_ways,""
531,"Father, to thee alone Is thy child's spirit","Thou, God, seest me","",,"Sarah Elizabeth Miles","",,,,father_to_thee_alone_is_thy_childs_spiri,""
532,"How long, O Lord, how long","","",,"Sarah Elizabeth Miles","",,,,how_long_o_lord_how_long,""
533,"Alas grief fills my heart","","",,"Isaac Williams","",,,,alas_grief_fills_my_heart,""
534,"All ye choirs of heaven","","",,"Isaac Williams","",,,,all_ye_choirs_of_heaven,""
535,"As Jesus sought his wandering sheep","Mary and Martha","",,"Isaac Williams","",,,,as_jesus_sought_his_wandering_sheep,""
536,"Away with sorrow's sigh","","",,"Isaac Williams","",,,,away_with_sorrows_sigh,""
537,"Be thou my guardian and my guide","","",,"Isaac Williams","",,,,be_thou_my_guardian_and_my_guide,""
538,"Behold the messengers of Christ","","",,"Isaac Williams","",,,,behold_the_messengers_of_christ,""
539,"Bread of angels, Lamb of God","","",,"Isaac Williams","",,,,bread_of_angels_lamb_of_god,""
540,"Close to thy heart, upon thy love","","",,"Isaac Williams","",,,,close_to_thy_heart_upon_thy_love,""
541,"Come, thou Creating Spirit, come","","",,"Isaac Williams","",,,,come_thou_creating_spirit_come,""
542,"Dear sacred heart, I thee adore","","Cor Jesu sacratissimum",,"Isaac Williams","",,,,dear_sacred_heart_i_thee_adore,""
543,"Each morn and eve, O King of heaven","","When twilight falls",,"Isaac Williams","",,,,each_morn_and_eve_o_king_of_heaven,""
544,"Earthly delights are calling","","",,"Isaac Williams","",,,,earthly_delights_are_calling,""
545,"[For Man the Savior Shed]","For Man the Savior Shed","",English,"Isaac Williams","",,,,for_man_the_savior_shed,"<i>Cyberhymnal</i> (http://www.hymntime.com/tch/, 1996)"
546,"He comes to me, to be mine own forever","","",,"Isaac Williams","",,,,he_comes_to_me_to_be_mine_own_forever,""
547,"Heaven must home, for thee my heart","","Lord of heaven, King of peace",,"Isaac Williams","",,,,heaven_must_home_for_thee_my_heart,""
548,"Let tomorrow take care of tomorrow","","",,"Charles Swain","",,,,let_tomorrow_take_care_of_tomorrow,""
549,"Let us love one another, not long may we stay","","",,"Charles Swain","",,,,let_us_love_one_another_not_long_may_we_,""
550,"Morn called fondly to a fair boy straying","The three callers","",,"Charles Swain","",,,,morn_called_fondly_to_a_fair_boy_strayin,""
551,"Nay, speak no ill, a kindly word","","",,"Charles Swain","",,,,nay_speak_no_ill_a_kindly_word,""
552,"Never rail at the world","","",,"Charles Swain","",,,,never_rail_at_the_world,""
553,"O loving and forgiving","","",,"Charles Swain","",,,,o_loving_and_forgiving,""
554,"O what a world this might be","","",,"Charles Swain","",,,,o_what_a_world_this_might_be,""
555,"Take the spade of perseverance","Spade of perseverance","",,"Charles Swain","",,,,take_the_spade_of_perseverance,""
556,"The heart it hath its own estate","The wealth of the heart","",,"Charles Swain","",,,,the_heart_it_hath_its_own_estate,""
557,"The precious seed of weeping","The precious seed of weeping","",German; English,"Catherine Winkworth","Karl Johann Philipp Spitta",,,,the_precious_seed_of_weeping,""
558,"O happy home, where thou art loved the dearest","O Happy Home, Where Thou Art Loved","",English,"Karl Johann Philipp Spitta","Sarah B. Findlater",,,11.10.11.10,o_happy_home_where_thou_art_loved_the_de,""
559,"We are the Lord's, His all sufficient merit","","",,"C. T. Astley","Karl Johann Philipp Spitta",,,,we_are_the_lords_his_all_sufficient_meri,""
560,"Wir haben immer Friede","","",,"Karl Johann Philipp Spitta","",,,,wir_haben_immer_friede,""
561,"Des Christen Schmuck und Ordensband","","",,"Karl Johann Philipp Spitta","",,,,des_christen_schmuck_und_ordensband,""
562,"Christ, whose first appearance lighted","","",,"C. J. Phillip Spitta","Richard Massie",,,,christ_whose_first_appearance_lighted,""
563,"Word of life, eternal fountain","","",,"Richard Massie","Karl Johann Philipp Spitta",,,,word_of_life_eternal_fountain,""
564,"I know no life divided","","",,"Richard Massie","Karl Johann Philipp Spitta",,,,i_know_no_life_divided,""
565,"Gehe hin in Gottes Namen","","",,"Karl Johann Philipp Spitta","",,,,gehe_hin_in_gottes_namen,""
566,"Mit Hjerte, af Sorg trykket ned","Saafnart Talsmanden kom","Fred, soed Fred",,"William Moore","",,,,mit_hjerte_af_sorg_trykket_ned,""
567,"My heart that was heavy [weary] and sad","When the Comforter came","Peace, sweet peace, peace when the Comforter came",,"William Moore","",,,,my_heart_that_was_heavy_weary_and_sad,""
568,"My life I knew to be sinful","When the Comforter came","My heart that was heavy and sad",,"William Moore","",,,,my_life_i_knew_to_be_sinful,""
569,"The thought is inspiring the prospect is sweet","The best friend","",,"William Moore","",,,,the_thought_is_inspiring_the_prospect_is,""
570,"The way to happiness obtain","The way to be happy","O that's the way",,"William Moore","",,,,the_way_to_happiness_obtain,""
571,"Complete in Jesus, O how full of heavenly peace","","",,"T. Whittemore","",,,,complete_in_jesus_o_how_full_of_heavenly,""
572,"Our Father, who in heaven art (Whittemore)","","Hear us, holy Father, hear our prayer to thee",,"T. Whittemore","",,,,our_father_who_in_heaven_art_whittemore,""
573,"When the redeemed are gathered","What a glad day","",,"R. H. Elliott","",,,,when_the_redeemed_are_gathered,""
574,"So rest, my Rest","So Rest, My Rest","",German; English,"S. Franck","Richard Massie",,,4.4.7.7.6,so_rest_my_rest,""
575,"Be with us this day to bless us","","",,"Richard Massie","Karl Johann Philipp Spitta",,,,be_with_us_this_day_to_bless_us,""
576,"If God Himself be for me","If God Himself Be for Me","",German; English,"P. Gerhardt","R. Massie",,,7.6.7.6.7.6.7.6,if_god_himself_be_for_me,""
577,"God the Father, be our Stay","God the Father, Be Our Stay","",German; English,"M. Luther","R. Massie",,,7.7.7.7.7.7.7 D,god_the_father_be_our_stay,""
578,"May God bestow on us His grace","May God Bestow on Us His Grace","",German; English,"M. Luther","R. Massie",,,8.7.8.7.8.7.8.7.7,may_god_bestow_on_us_his_grace,""
579,"To shepherds as they watched by night","To Shepherds as They Watched by Night","",German; English,"M. Luther","R. Massie",,,8.8.8.8,to_shepherds_as_they_watched_by_night,""
580,"Dear Christians, one and all, rejoice","Dear Christians, One and All, Rejoice","",German; English,"M. Luther","R. Massie",,,8.7.8.7.8.8.7,dear_christians_one_and_all_rejoice,""
581,"O blessed Sun whose splendor","O Blessed Sun Whose Splendor","",German; English,"Karl Johann Philipp Spitta","R. Massie",,,7.6.7.6.7.6.7.6,o_blessed_sun_whose_splendor,""
582,"We are called by one vocation","We Are Called by One Vocation","",English,"Karl Johann Philipp Spitta","R. Massie",,,8.7.8.7.7.7,we_are_called_by_one_vocation,""
583,"O what precious balm and healing","O What Precious Balm and Healing","",German; English,"J. Heermann","R. Massie",,,8.7.8.7.7.7.8.8,jesus_grant_that_balm_and_healing,""
584,"Of my life the life, O Jesus","Of My Life the Life","",German; English,"E. C. Homburg","R. Massie",,,8.7.8.7.8.8.7.7,of_my_life_the_life_o_jesus,""
585,"So rest, my Rest","So Rest, My Rest","",German; English,"S. Franck","Richard Massie",,,4.4.7.7.6,so_rest_my_rest,""
586,"Come Holy Ghost, Lord God, and fill","","Hallelujah, hallelujah",,"Richard Massie","",,,,come_holy_ghost_lord_god_and_fill,""
587,"I build on this foundation","","",,"Richard Massie","",,,,i_build_on_this_foundation,""
588,"Let thy light on me be shining","","",,"Richard Massie","",,,,let_thy_light_on_me_be_shining,""
589,"Lord, thou hast joined my soul to thine","","",,"Richard Massie","",,,,lord_thou_hast_joined_my_soul_to_thine,""
590,"O Lord, who teachest [taught to] us on earth","","",,"Richard Massie","",,,,o_lord_who_teachest_taught_to_us_on_eart,""
591,"That man a godly life might live","","Have mercy, Lord",,"Richard Massie","",,,,that_man_a_godly_life_might_live,""
592,"To Jordan came our Lord, the Christ","","",,"Richard Massie","",,,,to_jordan_came_our_lord_the_christ,""
593,"Upward and onward","","",,"Richard Massie","",,,,upward_and_onward,""
594,"We pray thee, Lord God, Holy Ghost","","Kyrie eleison",,"Richard Massie","",,,,we_pray_thee_lord_god_holy_ghost,""
595,"Word of life, eternal fountain","","",,"Richard Massie","Karl Johann Philipp Spitta",,,,word_of_life_eternal_fountain,""
596,"I know no life divided","","",,"Richard Massie","Karl Johann Philipp Spitta",,,,i_know_no_life_divided,""
597,"Evening and morning","","",English,"Paul Gerhardt","Richard Massie",,,,evening_and_morning,""
598,"Christ Jesus lay in death's strong bands","Christ Jesus Lay in Death's Strong Bands","",English,"Martin Luther","Richard Massie",,,8.7.8.7.7.8.7.4,christ_jesus_lay_in_deaths_strong_bands,""
599,"Now praise we Christ the holy one","","",,"Martin Luther","Richard Massie",,,,now_praise_we_christ_the_holy_one,""
600,"Out of the depths to Thee I raise","Out of the Depths","",English,"Martin Luther","Richard Massie",,,8.7.8.7.8.8.7,out_of_the_depths_to_thee_i_raise,""
601,"Come, Thou bright and Morning Star","Come, Thou Bright and Morning Star","",English,"Christian Knorr von  Rosenroth","Richard Massie",,,7.8.7.8.7.3,come_thou_bright_and_morning_star,""
602,"Christ, whose first appearance lighted","","",,"C. J. Phillip Spitta","Richard Massie",,,,christ_whose_first_appearance_lighted,""
603,"Archangels, fold your wings","","",,"Matthew Bridges","",,,,archangels_fold_your_wings,""
604,"Armies of God, in union","","",,"Matthew Bridges","",,,,armies_of_god_in_union,""
605,"Awake, my soul, and sing","","",,"Matthew Bridges","",,,,awake_my_soul_and_sing,""
606,"Before the cross of him who died","Trust in the Cross","",,"Matthew Bridges","",,,,before_the_cross_of_him_who_died,""
607,"Behold the glories of the Lord","","",,"Matthew Bridges","",,,,behold_the_glories_of_the_lord,""
608,"Behold the lamb, archangels, fold your wings","","",,"Matthew Bridges","",,,,behold_the_lamb_archangels_fold_your_win,""
609,"Behold the Lamb of God!","Behold the Lamb of God!","",,"Matthew Bridges","",,,6.6.6.4.8.8.4,behold_the_lamb_of_god_o_thou_for_sinner,""
610,"Blessed Lamb, on Calvary's mountain","","",,"Matthew Bridges","",,,,blessed_lamb_on_calvarys_mountain,""
611,"Bright cherubim and seraphim","","",,"Matthew Bridges","",,,,bright_cherubim_and_seraphim,""
612,"Bright were the mornings first impearled","","",,"Matthew Bridges","",,,,bright_were_the_mornings_first_impearled,""
613,"Faith is the dawning of the day","","",,"Matthew Bridges","",,,,faith_is_the_dawning_of_the_day,""
614,"Hail, Rock of ages, pierced for me","","",,"Matthew Bridges","",,,,hail_rock_of_ages_pierced_for_me,""
615,"Head of the hosts in glory!","","",English,"Matthew Bridges","",,,Irregular,head_of_the_hosts_in_glory,""
616,"I thirst, the blessed Savior said","","",,"Matthew Bridges","",,,,i_thirst_the_blessed_savior_said,""
617,"Kroenet mit Perlen pracht","","",,"Matthew Bridges","",,,,kroenet_mit_perlen_pracht,""
618,"Lead me to thy peaceful manger","","",,"Matthew Bridges","",,,,lead_me_to_thy_peaceful_manger,""
619,"Lo on the slope of yonder shore","","",,"Matthew Bridges","",,,,lo_on_the_slope_of_yonder_shore,""
620,"My God, accept my heart this day","My God, accept my heart this day","",,"Matthew Bridges","",,,8.6.8.6,my_god_accept_my_heart_this_day,""
621,"O for those solitary hours","","",,"Matthew Bridges","",,,,o_for_those_solitary_hours,""
622,"Rise, glorious Conqueror, rise","","",,"Matthew Bridges","",,,,rise_glorious_conqueror_rise,""
623,"Rose of the cross, thou mystic flower","Rosa mystica","",,"Matthew Bridges","",,,,rose_of_the_cross_thou_mystic_flower,""
624,"Soil not thy plumage, gentle dove","","",,"Matthew Bridges","",,,,soil_not_thy_plumage_gentle_dove,""
625,"There are loyal hearts, there are spirits brave","","Then give the best you have",,"Matthew Bridges","",,,,there_are_loyal_hearts_there_are_spirits,""
626,"There is an everlasting home","","The Savior's side, my hiding",,"Matthew Bridges","",,,,there_is_an_everlasting_home,""
627,"Crown him with many crowns","Crown Him with Many Crowns","",English,"Matthew Bridges","Godfrey Thring",,,6.6.8.6 D,crown_him_with_many_crowns,""
628,"A nation newly born","","",,"Joseph Smith","",,,,a_nation_newly_born,""
629,"Ah, Book of Mormon, golden book","","",,"Joseph Smith","",,,,ah_book_of_mormon_golden_book,""
630,"Beneath the darkest cloud","","",,"Joseph Smith","",,,,beneath_the_darkest_cloud,""
631,"Blessings rest upon the bread","","",,"Joseph Smith","",,,,blessings_rest_upon_the_bread,""
632,"Blest is the tongue by the Spirit conferred","","",,"Joseph Smith","",,,,blest_is_the_tongue_by_the_spirit_confer,""
633,"Brethren breathe one fervent prayer","","",,"Joseph Smith","",,,,brethren_breathe_one_fervent_prayer,""
634,"Bright shone the star that o'er Bethlehem's plain","","",,"Joseph Smith","",,,,bright_shone_the_star_that_oer_bethlehem,""
635,"Father, I go, 'tis thy voice","","",,"Joseph Smith","",,,,father_i_go_tis_thy_voice,""
636,"How shall the saints their treasures give","","",,"Joseph Smith","",,,,how_shall_the_saints_their_treasures_giv,""
637,"Is there a gift for the weary and worn","","",,"Joseph Smith","",,,,is_there_a_gift_for_the_weary_and_worn,""
638,"Kindliest boon to man e'er given","","",,"Joseph Smith","",,,,kindliest_boon_to_man_eer_given,""
639,"Let there be light, the Master said","","",,"Joseph Smith","",,,,let_there_be_light_the_master_said,""
640,"Lord, let thy blessing rest in peace","","",,"Joseph Smith","",,,,lord_let_thy_blessing_rest_in_peace,""
641,"Lord, let thy power attend thy word","","",,"Joseph Smith","",,,,lord_let_thy_power_attend_thy_word,""
642,"Love rules in every Christian soul","","",,"Joseph Smith","",,,,love_rules_in_every_christian_soul,""
643,"O bow thine ear, thou God of saints","","",,"Joseph Smith","",,,,o_bow_thine_ear_thou_god_of_saints,""
644,"Rest, cold form, thy spirit cleaveth","","",,"Joseph Smith","",,,,rest_cold_form_thy_spirit_cleaveth,""
645,"Send forth the sowers","","",,"Joseph Smith","",,,,send_forth_the_sowers,""
646,"Tenderly, tenderly, lead thou me on","","",,"Joseph Smith","",,,,tenderly_tenderly_lead_thou_me_on,""
647,"The best is not too good for me","","",,"Joseph Smith","",,,,the_best_is_not_too_good_for_me,""
648,"The gifts of God, a gracious theme","","",,"Joseph Smith","",,,,the_gifts_of_god_a_gracious_theme,""
649,"The mightiest prayer that man can breathe","","",,"Joseph Smith","",,,,the_mightiest_prayer_that_man_can_breath,""
650,"The sands have one by one run out","","",,"Joseph Smith","",,,,the_sands_have_one_by_one_run_out,""
651,"The Spirit giveth aid to all","","",,"Joseph Smith","",,,,the_spirit_giveth_aid_to_all,""
652,"To the gathering past our years","","",,"Joseph Smith","",,,,to_the_gathering_past_our_years,""
653,"Unmoved by fear my praise is due to thee","","",,"Joseph Smith","",,,,unmoved_by_fear_my_praise_is_due_to_thee,""
654,"Watchman, who are these I see","","",,"Joseph Smith","",,,,watchman_who_are_these_i_see,""
655,"What glorious news is this I hear","","",,"Joseph Smith","",,,,what_glorious_news_is_this_i_hear,""
656,"What gloriouw news is this I hear","","",,"Joseph Smith","",,,,what_gloriouw_news_is_this_i_hear,""
657,"When Christ declared Go preach the word","","",,"Joseph Smith","",,,,when_christ_declared_go_preach_the_word,""
658,"Who labors for Christ, must labor in fear","","",,"Joseph Smith","",,,,who_labors_for_christ_must_labor_in_fear,""
659,"Father, for all mankind we pray","","",,"John Reynell Wreford","",,,,father_for_all_mankind_we_pray,""
660,"God of the ocean, earth and sky","","",,"John Reynell Wreford","",,,,god_of_the_ocean_earth_and_sky,""
661,"O guard our shores form every foe","","",,"John Reynell Wreford","",,,,o_guard_our_shores_form_every_foe,""
662,"When my love to God grows weak","When my Love to Christ [God] grows weak","",,"John Reynell Wreford","",,,7.7.7.7,when_my_love_to_god_grows_weak,""
663,"Lord, I believe; Thy power I own","","",English,"John Reynell Wreford","",,,8.6.8.6,lord_i_believe_thy_power_i_own,""
664,"Lord, while for all mankind we pray","Lord, while for all mankind we pray","",English,"John Reynell Wreford","",,,8.6.8.6,lord_while_for_all_mankind_we_pray,"<i>Scottish Psalter</i>, 1615"
665,"Children of Jerusalem","","Hark, hark, hark! while infant voice sing",English,"John Henley","",,,7.7.7.7 with refrain,children_of_jerusalem_sang_the_praise,""
666,"On Zion's rock I take","Jesus, my Savior","",,"J. H. Burke","",,,,on_zions_rock_i_take,""
667,"Spread the temperance banner out","","Marching boldly, onward ever",,"J. H. Burke","",,,,spread_the_temperance_banner_out,""
668,"Sweet Christ is our leader","Jesus our Leader","Rejoice, O ye ransomed",,"J. H. Burke","",,,,sweet_christ_is_our_leader,""
669,"And is it so, I shall be like thy Son","","",,"John Nelson Darby","",,,,and_is_it_so_i_shall_be_like_thy_son,""
670,"And shall we see thy face","","",,"John Nelson Darby","",,,,and_shall_we_see_thy_face,""
671,"Father, in thine etenal power","","",,"John Nelson Darby","",,,,father_in_thine_etenal_power,""
672,"Father, in thine etenal power, Thy grace","","",,"John Nelson Darby","",,,,father_in_thine_etenal_power_thy_grace,""
673,"Father, thy sovereign love has sought","","",,"John Nelson Darby","",,,,father_thy_sovereign_love_has_sought,""
674,"Hark, ten thousand voices crying","","",,"John Nelson Darby","",,,,hark_ten_thousand_voices_crying,""
675,"O bright and blessed scenes","","",,"John Nelson Darby","",,,,o_bright_and_blessed_scenes,""
676,"O ever homeless Stranger","","",,"John Nelson Darby","",,,,o_ever_homeless_stranger,""
677,"O ever homeless Stranger, Thou dearest Friend","","",,"John Nelson Darby","",,,,o_ever_homeless_stranger_thou_dearest_fr,""
678,"O Lord, thy love's unbounded","","",,"John Nelson Darby","",,,,o_lord_thy_loves_unbounded,""
679,"Our God whom we have known","","",,"John Nelson Darby","",,,,our_god_whom_we_have_known,""
680,"Rise, my soul, thy God directs thee","","",,"John Nelson Darby","",,,,rise_my_soul_thy_god_directs_thee,""
681,"Sing without ceasing","","",,"John Nelson Darby","",,,,sing_without_ceasing,""
682,"This world is a wilderness wide","","",,"John Nelson Darby","",,,,this_world_is_a_wilderness_wide,""
683,"We'll praise thee, glorious Lord","","",,"John Nelson Darby","",,,,well_praise_thee_glorious_lord,""
684,"It is not with uncertain step","","",,"J. N. Darby","",,,,it_is_not_with_uncertain_step,""
685,"To her home in heaven our mother has gone","Our mother in heaven","",,"John A. Goss","",,,,to_her_home_in_heaven_our_mother_has_gon,""
686,"Musing in the silent grove","","",,"H. K. Oliver","",,,,musing_in_the_silent_grove,""
687,"See my Shepherd gently guide","","",,"H. K. Oliver","",,,,see_my_shepherd_gently_guide,""
688,"Wake, all ye soaring tribes and sing","","",,"H. K. Oliver","",,,,wake_all_ye_soaring_tribes_and_sing,""
689,"Dost thou know the living fountain","","",English,"H. A. Timm","Jens C. Aaberg",,,8.7.8.7.7.7.8.8,dost_thou_know_the_living_fountain,""
690,"Earth, with all thy thousand voices","","",,"Edward Churton","",,,,earth_with_all_thy_thousand_voices,""
691,"God, my hope, my strength, my King","","",,"Edward Churton","",,,,god_my_hope_my_strength_my_king,""
692,"God of grace, O let thy light","","",,"Edward Churton","",,,,god_of_grace_o_let_thy_light,""
693,"God of Love, O let Thy light","","",,"Edward Churton","",,,,god_of_love_o_let_thy_light,""
694,"If our God had not befriended","","",,"Edward Churton","",,,,if_our_god_had_not_befriended,""
695,"O stand in awe, and fear to sin","","",,"Edward Churton","",,,,o_stand_in_awe_and_fear_to_sin,""
696,"Raise the psalm let earth adoring","","",,"Edward Churton","",,,,raise_the_psalm_let_earth_adoring,""
697,"Hark, o'er Bethlehem's plains is ringing","Joyful tidings","Glory be to God the Father",,"Charles J. Butler","",,,,hark_oer_bethlehems_plains_is_ringing,""
698,"I will sing of Jesus hanging","","I will sing of Jesus dying",,"Charles J. Butler","",,,,i_will_sing_of_jesus_hanging,""
699,"Lone hearts there are this wide earth o'er","Jesus heals broken hearts","Yes broken hearts the Savior heals",,"Charles J. Butler","",,,,lone_hearts_there_are_this_wide_earth_oe,""
700,"A picture bright in tints of gold","","O home, sweet home, in yon blest clime",,"Charles J. Butler","",,,,a_picture_bright_in_tints_of_gold,""
701,"Along the stormy sea of sin","Come to the rescue","O, see them by the billows tossed",,"Charles J. Butler","",,,,along_the_stormy_sea_of_sin,""
702,"Christ on the cross atonement made","Tell it to every sinner","Go, tell it to every sinner",,"Charles J. Butler","",,,,christ_on_the_cross_atonement_made,""
703,"Christ speaks of one","","O, be a good Samaritan",,"Charles J. Butler","",,,,christ_speaks_of_one,""
704,"Dear Bethany what memories cling","Bethany","O Bethany, loved Bethany",,"Charles J. Butler","",,,,dear_bethany_what_memories_cling,""
705,"E'er since my Savior came to me","Jesus makes my heaven here","O praise the Savior's name so dear",,"Charles J. Butler","",,,,eer_since_my_savior_came_to_me,""
706,"Faith in Christ, the bleeding lamb","","'Twill save me",,"Charles J. Butler","",,,,faith_in_christ_the_bleeding_lamb,""
707,"Far from Christ I wandered","Jesus brought me back","I'm so glad Christ found me",,"Charles J. Butler","",,,,far_from_christ_i_wandered,""
708,"Father, in Christ the living vine","The true vine","A living branch in Christ the Vine",,"Charles J. Butler","",,,,father_in_christ_the_living_vine,""
709,"Here, beneath this shadowy bower","","Hallelujah, 'tis the power",,"Charles J. Butler","",,,,here_beneath_this_shadowy_bower,""
710,"Home at last with Christ my Savior","","",,"Charles J. Butler","",,,,home_at_last_with_christ_my_savior,""
711,"How often as through this dark","","Home, precious home",,"Charles J. Butler","",,,,how_often_as_through_this_dark,""
712,"I do not know why trials severe","Soon I shall know","But I shall know, shall know some day",,"Charles J. Butler","",,,,i_do_not_know_why_trials_severe,""
713,"I had wandered away from the Savior","A poor sinner like me","He paid the debt upon the tree",,"Charles J. Butler","",,,,i_had_wandered_away_from_the_savior,""
714,"I once was far away from the Savior","A sinner like me","",,"Charles J. Butler","",,,,i_once_was_far_away_from_the_savior,""
715,"I once was lost and in distress","Christ rescued me","I'm rescued now, O, can it be",,"Charles J. Butler","",,,,i_once_was_lost_and_in_distress,""
716,"I sat within a home one day","","",,"Charles J. Butler","",,,,i_sat_within_a_home_one_day,""
717,"I shall lay the cross aside","Some glad day","",,"Charles J. Butler","",,,,i_shall_lay_the_cross_aside,""
718,"I was once far away from the Savior, And as vile as a sinner could be (Butler)","","I wandered on in the darkness",,"Charles J. Butler","",,,,i_was_once_far_away_from_the_savior_butl,""
719,"In sin's dark prison once was I","Hallelujah now I'm free","",,"Charles J. Butler","",,,,in_sins_dark_prison_once_was_i,""
720,"In this world of sorrow","Jesus shall wipe all tears away","Yes, we're on our journey",,"Charles J. Butler","",,,,in_this_world_of_sorrow,""
721,"I've gone with those I loved so dear","We'll meet to part no more","We'll meet they whispered, soft and low",,"Charles J. Butler","",,,,ive_gone_with_those_i_loved_so_dear,""
722,"I've no refuge, Lord, beside thee","The only refuge","Hide me, Jesus, safely hide me",,"Charles J. Butler","",,,,ive_no_refuge_lord_beside_thee,""
723,"Loved ones who often sat with me","Though old hearth stone","Sad and lone, yes oft 'tis so",,"Charles J. Butler","",,,,loved_ones_who_often_sat_with_me,""
724,"O brother, on life's treacherous sea","Say, who's your pilot","Accept this Pilot then today",,"Charles J. Butler","",,,,o_brother_on_lifes_treacherous_sea,""
725,"O Christ has come to live with me","Christ has come to live with me","Yes, Christ has come to live with me",,"Charles J. Butler","",,,,o_christ_has_come_to_live_with_me,""
726,"O listen, poor sinner","","O, he saved even me",,"Charles J. Butler","",,,,o_listen_poor_sinner,""
727,"O thou weary, thirsty traveler","Living waters","Come, O come, thou weary traveler",,"Charles J. Butler","",,,,o_thou_weary_thirsty_traveler,""
728,"O, what a sad time, poor sinner, 'twill be","Sinner, haste to Jesus","Haste then to Jesus ere you reach the dark",,"Charles J. Butler","",,,,o_what_a_sad_time_poor_sinner_twill_be,""
729,"O what love Christ showed for me","It broke up my heart of stone","Jesus' love, his love to me",,"Charles J. Butler","",,,,o_what_love_christ_showed_for_me,""
730,"O'er death's sea, in yon blest city","","In that city, bright city",,"Charles J. Butler","",,,,oer_deaths_sea_in_yon_blest_city,""
731,"On memory's wall engraven stands","","My mother's face, her precious face",,"Charles J. Butler","",,,,on_memorys_wall_engraven_stands,""
732,"On the rock bound coast of time","","The beacon light our guide shall be",,"Charles J. Butler","",,,,on_the_rock_bound_coast_of_time,""
733,"One stormy night, long years ago","Song in the old church","Here speaks the Comforter, tenderly saying",,"Charles J. Butler","",,,,one_stormy_night_long_years_ago,""
734,"Over in yonder holy city","No sorrow in that city","To that city I am going",,"Charles J. Butler","",,,,over_in_yonder_holy_city,""
735,"Round Christ, the great incarnate God","The cleansing blood","O, yes, his blood, for sinners spilt",,"Charles J. Butler","",,,,round_christ_the_great_incarnate_god,""
736,"Since Christ my soul from sin set free","Where Jesus Is, Tis Heaven","O hallelujah, yes, 'tis Heav'n",English,"Charles J. Butler","",,,,since_christ_my_soul_from_sin_set_free,""
737,"Sinner, think of Jesus' love","Sinner, come to Jesus","Then, poor sinner, come to Jesus",,"Charles J. Butler","",,,,sinner_think_of_jesus_love,""
738,"Sinner, when youth's bright morn is past","","Sinner, what then",,"Charles J. Butler","",,,,sinner_when_youths_bright_morn_is_past,""
739,"Sin's gloomy night was o'er me spread","Where Jesus is, there is no night","There is no night",,"Charles J. Butler","",,,,sins_gloomy_night_was_oer_me_spread,""
740,"Some day, I know not when 'twill be","Old Jordan's waves I do not fear","",,"Charles J. Butler","",,,,some_day_i_know_not_when_twill_be,""
741,"Sorrowing one, lift up your head","Our Lord is risen","Then come with joy today",,"Charles J. Butler","",,,,sorrowing_one_lift_up_your_head,""
742,"The Bible, 'tis the world's great light","","O holy Bible, gift so dear",,"Charles J. Butler","",,,,the_bible_tis_the_worlds_great_light,""
743,"The gate of mercy open stands","","O sinner, enter in",,"Charles J. Butler","",,,,the_gate_of_mercy_open_stands,""
744,"There's none other name given among men","No other name","Jesus the Lamb of God has died",,"Charles J. Butler","",,,,theres_none_other_name_given_among_men,""
745,"Though the world may see no beauty","Christ, the fairest of the fair","Yes, his face to me is lovely",,"Charles J. Butler","",,,,though_the_world_may_see_no_beauty,""
746,"To this dark world long years ago","","I'm glad he came",,"Charles J. Butler","",,,,to_this_dark_world_long_years_ago,""
747,"To yonder blissful home I'm bound","","Sinner, will you go with me",,"Charles J. Butler","",,,,to_yonder_blissful_home_im_bound,""
748,"What precious words the Savior spake","Precious words of Jesus","Loving words, tender words",,"Charles J. Butler","",,,,what_precious_words_the_savior_spake,""
749,"When Christ our Lord was dwelling here","The promised home","There is one for you",,"Charles J. Butler","",,,,when_christ_our_lord_was_dwelling_here,""
750,"While out on life's dark, stormy sea","","I will not fear, I will not fear",,"Charles J. Butler","",,,,while_out_on_lifes_dark_stormy_sea,""
751,"With thee, precious Lord, I would stay","It is good to be here","",,"Charles J. Butler","",,,,with_thee_precious_lord_i_would_stay,""
752,"Give me some promise, Lord","","O, let me feel thy presence",,"C. O. H. Thomas","",,,,give_me_some_promise_lord,""
753,"Hallelujah, praise to God","","",,"William Ball","",,,,hallelujah_praise_to_god,""
754,"Praise to Jesus, Lord and God","","",,"William Ball","",,,,praise_to_jesus_lord_and_god,""
755,"Praise to Jesus, praise to God","","",,"William Ball","",,,,praise_to_jesus_praise_to_god,""
756,"To God on high be thanks and praise","","",,"William Ball","",,,,to_god_on_high_be_thanks_and_praise,""
757,"Hark, I hear the Savior calling Little children, come to me","Come unto me","He calls again",,"William Cutter","",,,,hark_i_hear_the_savior_callinglittle_chi,""
758,"Hide not thy talent in the earth","","",,"William Cutter","",,,,hide_not_thy_talent_in_the_earth,""
759,"In all the changes we have seen","","",,"William Cutter","",,,,in_all_the_changes_we_have_seen,""
760,"Jesus, Savior, at thy bidding","","",,"William Cutter","",,,,jesus_savior_at_thy_bidding,""
761,"Listen to the roses","Spirit voices","God is near thee night and day",,"William Cutter","",,,,listen_to_the_roses,""
762,"Thy neighbor, it is he whom thou","","",,"William Cutter","",,,,thy_neighbor_it_is_he_whom_thou,""
