80,"A few more years shall roll","A Few More Years Shall Roll","Horatius Bonar",,,,"a_few_more_years_shall_roll","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 A few more years shall roll,


A few more seasons come,


And we shall be with those that rest


Asleep within the tomb:


Then, O my Lord, prepare


My soul for that great day;


O wash me in Thy precious Blood,


And take my sins away.



2 A few more suns shall set


O'er these dark hills of time,


And we shall be where suns are not,


A far serener clime:


Then, O my Lord, prepare


My soul for that blest day;


O wash me in Thy precious Blood,


And take my sins away.



3 A few more storms shall beat


On this wild rocky shore,


And we shall be where tempests cease,


And surges swell no more:


Then, O my Lord, prepare


My soul for that calm day;


O wash me in Thy precious Blood,


And take my sins away.



4 A few more struggles here,


A few more partings o'er,


A few more toils, a few more tears,


And we shall weep no more:


Then, O my Lord, prepare


My soul for that bright day;


O wash me in Thy precious Blood,


And take my sins away.



5 'Tis but a little while


And He shall come again,


Who died that we might live, Who lives


That we with Him may reign:


Then, O my Lord, prepare


My soul for that glad day;


O wash me in Thy precious blood,


And take my sins away."
81,"All praise to him who built the hills","All praise to Him Who built the hills","Horatius Bonar",,,,"all_praise_to_him_who_built_the_hills","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 All praise to Him Who built the hills;


All praise to Him the streams Who fills;


All praise to Him Who lights each star


That sparkles in the sky afar.



2 All praise to Him Who wakes the morn,


And bids it glow with beams new-born;


Who draws the shadows of the night,


Like curtains, o'er our wearied sight.



3 All praise to Him Whose love hath given,


In Christ His Son, the life of heaven;


Who gives us, for our darkness, light,


And turns to day our deepest night.



4 All praise to Him in love Who came,


To bear our woe, and sin, and shame;


Who lived to die, Who died to rise,


The all-prevailing the sacrifice.



5 All praise to Him Who sheds abroad


Within our hearts the love of God:


The Spirit of all truth and peace,


The fount of joy and holiness.



6 To Father, Son, and Spirit now


Our hands we lift, our knees we bow:


To Thee, blest Trinity, we raise


E'en here, in exile, songs of praise.



Amen."
82,"Bathed in unfallen sunlight","The City of God","Horatius Bonar",,,,"bathed_in_unfallen_sunlight","TT","Timeless Truths",0,"Gender Neutral","1 Bathed in unfallen sunlight,


Itself a sunborn gem,


Fair gleams the glorious city,


The new Jerusalem!


City fairest, splendor rarest,


Let me gaze on thee!


O city fairest, splendor rarest,


Home for all the free! 



2 Calm in her queenly glory,


She sits all joy and light:


Pure in her bridal beauty,


Her raiment festal white!


Home of gladness, free from sadness,


Let me dwell in thee!


O home of gladness, free from sadness,


Mine eternally! 



3 Shading her golden pavement,


The tree of life is seen,


Its fruit-rich branches waving,


Celestial evergreen.


Tree of wonder, let me under


Thee forever rest!


O tree of wonder, let me under


Thy rich boughs be blest! 



4 Rich are the priceless jewels


That deck her mighty wall,


And from the throne of God-head


A wondrous radiance falls.


City fairest, splendor rarest,


Let me gaze on thee!


O city fairest, splendor rarest,


Home for all the free!"
83,"Beyond the smiling and the weeping",,"Horatius Bonar",,,,"beyond_the_smiling_and_the_weeping","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral,Non-Archaic","1 Beyond the smiling and the weeping 


I shall be soon;


Beyond the waking and the sleeping,


Beyond the sowing and the reaping,


I shall be soon.


Love, rest, and home! Sweet hope!


Lord, tarry not, but come.



2 Beyond the blooming and the fading


I shall be soon;


Beyond the shining and the shading,


Beyond the hoping and the dreading,


I shall be soon.


Love, rest, and home! Sweet hope!


Lord, tarry not, but come.



3 Beyond the rising and the setting


I shall be soon;


Beyond the calming and the fretting,


Beyond remembering and forgetting,


I shall be soon.


Love, rest, and home! Sweet hope!


Lord, tarry not, but come.



4 Beyond the parting and the meeting


I shall be soon;


Beyond the farewell and the greeting,


Beyond the pulse's fever-beating,


I shall be soon.


Love, rest, and home! Sweet hope!


Lord, tarry not, but come.



5 Beyond the frost-chain and the fever


I shall be soon;


Beyond the rock-waste and the river,


Beyond the ever and the never,


I shall be soon.


Love, rest, and home! Sweet hope!


Lord, tarry not, but come.



Amen."
84,"Blessed night, when first that plain",,"Horatius Bonar",,,,"blessed_night_when_first_that_plain","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,,"1 Blessed night, when first that plain,


Echoed with the joyful strain:


'Peace has come to earth again.'



2 Bless'd hills that heard the song


Of the glorious angel throng


Swelling all your slopes along.



3 Happy shepherds on whose ear


Fell the tidings glad and clear,


'God to man is drawing near.'



4 Thus revealed to shepherd's eyes,


Hidden from the great and wise,


Entering earth in lowly guise--



5 We adore Thee as our King,


And to Thee our song we sing;


Our best offering to Thee bring.



6 Bless'd Babe of Bethlehem,


Owner of earth's diadem,


Claim and wear the radiant gem.



Amen.


"
85,"Blessing and honor and glory and power","Blessing and Honor","Horatius Bonar",,,,"blessing_and_honor_and_glory_and_power","TH1961","Trinity Hymnal",1961,,"Blessing and honor and glory and power,

Wisdom and riches and strength evermore

Give ye to him who our battle hath won,

Whose are the Kingdom, the crown, and the throne.

Soundeth the heav'n of the heav'ns with his Name;

Ringeth the earth with his glory and fame;

Oceans and mountain, stream, forest, and flower

Echo his praises and tell of his power.

Ever ascendeth the song and the joy;

Ever descendeth the love from on high;

Blessing and honor and glory and praise--

This is the theme of the hymns that we raise.

Give we the glory and praise to the Lamb;

Take we the robe and the harp and the palm;

Sing we the song of the Lamb that was slain,

Dying in weakness, but rising to reign."
86,"By the cross of Jesus standing",,"Horatius Bonar",,,,"by_the_cross_of_jesus_standing","TH1961","Trinity Hymnal",1961,,"By the cross of Jesus standing,

Love our straitened souls expanding,

Taste we now the peace and grace!

Health from yonder tree is flowing,

Heavenly light is on it glowing,

From the blessed Suff'rer's face.

Here is pardon's pledge and token,

Guilt's strong chain for ever broken,

Righteous peace securely made;

Brightens now the brow once shaded,

Freshens now the face once faded,

Peace with God now makes us glad.

All the love of God is yonder,

Love above all thought and wonder,

Perfect love that casts out fear!

Strength, like dew, is here distilling,

Glorious life our souls is filling,

Life eternal, only here!

Here the living water welleth;

Here the Rock, now smitten, telleth

Of salvation freely giv'n:

This the fount of love and pity,

This the pathway to the city,

This the very gate of heav'n."
87,"Calm me, my God, and keep me calm",,"Horatius Bonar",,,,"calm_me_my_god_and_keep_me_calm","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Calm me, my God, and keep me calm,


While these hot breezes blow;


Be like the night-dew's cooling balm


Upon earth's fevered brow.



2 Calm me, my God, and keep me calm,


Soft resting on Thy breast;


Soothe me with holy hymn and psalm,


And bid my spirit rest.



3 Calm me, my God, and keep me calm,


Let Thine outstretch'd wing


Be like the shade of Elim's palm


Beside her desert-spring.



4 Yes, keep me calm, though loud and rude


The sounds my ear that greet,


Calm in the closet's solitude,


Calm in the bustling street;



5 Calm in the hour of buoyant health,


Calm in the hour of pain;


Calm in my poverty or wealth,


Calm in my loss or gain;



6 Calm in the sufferance of wrong,


Like Him who bore my shame,


Calm 'mid the threatening, taunting throng,


Who hate Thy holy Name;



7 Calm as the ray of sun or star


Which storms assail in vain;


Moving unruffled through earth's war,


The eternal calm to gain.



Amen."
88,"Come, Lord, and tarry not",,"Horatius Bonar",,,,"come_lord_and_tarry_not","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Come Lord, and tarry not;


Bring the long-looked-for day;


O why these years of waiting here,


These ages of delay?



2 Come, for Thy saints still wait;


Daily ascends their sigh:


The Spirit and the Bride say, 'Come':


Dost Thou not hear the cry?



3 Come, for creation groans,


Impatient of Thy stay,


Worn out with these long years of ill,


These ages of delay.



4 Come, and make all things new;


Build up this ruined earth;


Restore our faded Paradise,


Creation's second birth.



5 Come, and bring Thy reign


Of everlasting peace;


Come, take the kingdom to Thyself,


Great King of Righteousness.



Amen.


"
89,"Fill thou my life, O Lord my God","Fill Thou My Life, O Lord, My God","Horatius Bonar",,,,"fill_thou_my_life_o_lord_my_god","NCH1929","The New Christian Hymnal",1929,"Gender Neutral","1. Fill Thou, my life, O Lord, my God,


In ev'ry part with praise,


That my whole being may proclaim


Thy being and Thy ways;


Not for the lip of praise alone,


Nor e'en the praising heart,


I ask, but for a life made up


Of praise in ev'ry part.



2. Praise in the common words I speak,


Life's common looks and tones,


In intercouse at hearth or board


With my beloved ones,--


Enduring wrong, reproach, or loss


With sweet and steadfast will,


Loving and blessing those who hate,


Returning good for ill.



3. So shall each fear, each fret, each care,


Be turned into song,


And ev'ry winding of the way


The echo shall prolong;


So shall no part of day or night


From sacredness be free,


But all my life, in ev'ry step,


Be fellowship with Thee."
90,"Glory be to God the Father","Glory Be to God the Father","Horatius Bonar",,,,"glory_be_to_god_the_father_glory_be_to","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 Glory be to God the Father!


Glory be to God the Son!


Glory be to God the Spirit!


God Eternal, Three in One!


Glory, glory, Glory, glory,


While eternal ages run!



2 Glory be to Him Who loved us,


Washed us from each spot and stain!


Glory be to Him who bought us,


Made us kings with Him to reign!


Glory, glory, Glory, glory,


To the Lamb that once was slain!



3 Glory to the King of angels!


Glory to the Church's King!


Glory to the King of nations!


Heaven and earth, your praises bring!


Glory, glory, Glory, glory,


To the King of glory bring!



4 Glory, blessing, praise eternal!


Thus the choir of angels sings;


Honor, riches, power, dominion!


thus its praise creation brings;


Glory, glory, Glory, glory,


Glory to the King of kings!"
91,"Go, labor on","Go, Labor On","Horatius Bonar",,,,"go_labor_on_spend_and_be_spent","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 Go, labor on! spend and be spent!


Thy joy to do the Father's will;


It is the way the Master went;


Should not the servant tread it still?



2 Go, labor on! 'tis not for naught;


Thine earthly loss is heavenly gain;


Men heed thee, love thee, praise thee not;


The Master praises: what are men?



3 Go, labor on! enough, while here,


If He shall praise thee, if He deign


Thy willing heart to mark and cheer;


No toil for Him shall be in vain.



4 Go, labor on, while it is day!


The world's dark night is hastening on:


Speed, speed thy work! cast sloth away!


It is not thus that souls are won.



5 Toil on! faint not! keep watch, and pray!


Be wise the erring soul to win!


Go forth into the world's highway!


Compel the wanderer to come in!



6 Toil on, and in thy toil rejoice!


For toil comes rest, for exile home;


Soon shalt thou hear the Bridegroom's voice,


The midnight peal, 'Behold, I come!'



Amen."
92,"He has come! the Christ of God",,"Horatius Bonar",,,,"he_has_come_the_christ_of_god","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 He has come, the Christ of God:


Left for us His glad abode;


Stooping from His throne of bliss


To this darksome wilderness.



2 He has come, the Prince of Peace:


Come to bid our sorrows cease;


Come to scatter with His light


All the shadows of our night.



3 He, the mighty King, has come,


Making this poor earth His home:


Come to bear our sin's sad load,


Son of David, Son of God.



4 He has come, whose Name of grace


Speaks deliverance to our race:


Left for us His glad abode,


Son of Mary, Son of God.



5 Unto us a Child is born:


Ne'er has earth beheld a morn


Among all the morns of time,


Half so glorious in its prime.



6 Unto us a Son is given:


He has come from God's own heaven,


Bringing with Him from above


Holy peace and holy love.



Amen."
93,"Here, O my Lord, I see Thee face to face","Here, O My Lord, I See Thee Face to Face","Horatius Bonar",,,,"here_o_my_lord_i_see_thee_face_to_face","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 Here, O my Lord, I see Thee face to face;


Here would I touch and handle things unseen;


Here grasp with firmer hand eternal grace,


And all my weariness upon Thee lean.



2 Here would I feed upon the bread of God;


Here drink with Thee the royal wine of heaven;


Here would I lay aside each earthly load,


Here taste afresh the calm of sin forgiven.



3 I have no help but Thine, nor do I need


Another arm save Thine to lean upon;


It is enough, my Lord, enough indeed;


My strength is in Thy might, Thy might alone.



5 Mine is the sin, but Thine the righteousness:


Mine is the guilt, but Thine the cleansing blood;


Here is my robe, my refuge, and my peace;


Thy Blood, Thy righteousness, O Lord my God!



Amen."
94,"Holy Father, hear my cry",,"Horatius Bonar",,,,"holy_father_hear_my_cry","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Holy Father, hear my cry;


Holy Saviour, bend Thine ear;


Holy Spirit, come Thou nigh:


Father, Saviour, Spirit, hear.



2 Father, save me from my sin;


Saviour, I Thy mercy crave;


Gracious Spirit, make me clean:


Father, Son, and Spirit, save.



3 Father, let me taste Thy love;


Saviour, fill my soul with peace;


Spirit, come my heart to move:


Father, Son, and Spirit, bless.



4 Father, Son, and Spirit -- Thou


One Jehovah, shed abroad,


All Thy grace within me now;


Be my Father and my God.



Amen."
95,"I heard the voice of Jesus say","I Heard the Voice of Jesus Say","Horatius Bonar",,,,"i_heard_the_voice_of_jesus_say_come_unto","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 I heard the voice of Jesus say


Come unto Me and rest;


Lay down, thou weary one, lay down


Thy head upon My breast.


I came to Jesus as I was,


Weary, and worn, and sad;


I found in Him a resting-place,


And He has made me glad.



2 I heard the voice of Jesus say,


Behold, I freely give


The living water; thirsty one,


Stoop down and drink, and live.


I came to Jesus, and I drank


Of that life-giving stream;


My thirst was quenched, my soul revived,


And now I live in Him.



3 I heard the voice of Jesus say,


I am this dark world's light;


Look unto Me, thy morn shall rise,


And all thy day be bright.


I looked to Jesus, and I found


In Him my star, my sun;


And in that light of life I'll walk


Till travelling days are done.



Amen."
96,"I lay my sins on Jesus","I Lay My Sins on Jesus","Horatius Bonar",,,,"i_lay_my_sins_on_jesus","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 I lay my sins on Jesus,


The spotless Lamb of God;


He bears them all, and frees us


From the accursed load.


I bring my guilt to Jesus,


To wash my crimson stains


White in His blood most precious,


Till not a spot remains.



2 I lay my wants on Jesus:


All fullness dwells in Him;


He heals all my diseases,


He doth my soul redeem.


I lay my griefs on Jesus,


My burdens and my cares;


He from them all releases;


He all my sorrows shares.



3 I rest my soul on Jesus,


This weary soul of mine;


His right hand me embraces,


I on His breast recline.


I love the Name of Jesus,


Emmanuel, Christ, the Lord;


Like fragrance on the breezes


His Name abroad is poured.



4 I long to be like Jesus,


Meek, loving, lowly, mild;


I long to be like Jesus,


The Father's holy Child;


I long to be with Jesus,


Amid the heavenly throng;


To sing with saints His praises,


To learn the angels' song."
97,"I was a wandering sheep","I Was A Wandering Sheep","Horatius Bonar",,,,"i_was_a_wandering_sheep","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 I was a wandering sheep,


I did not love the fold;


I did not love my Shepherd's voice,


I would not be controlled.


I was a wayward child,


I did not love my home;


I did not love my Father's voice,


I loved afar to roam.



2 The Shepherd sought His sheep,


The Father sought His child;


They followed me o'er vale and hill,


O'er deserts waste and wild:


They found me nigh to death,


Famished and faint and lone;


They bound me with the bands of love,


They saved the wandering one.



3 Jesus my Shepherd is;


'Twas He that loved my soul,


'Twas He that washed me in His blood,


'Twas He that made me whole;


'Twas He that sought the lost,


That found the wandering sheep,


'Twas He that brought me to the fold,


'Tis He that still doth keep.



4 I was a wandering sheep,


I would not be controlled;


But now I love my Shepherd's voice,


I love, I love the fold.


I was a wayward child,


I once preferred to roam;


But now I love my Father's voice,


I love, I love His home.



Amen."
98,"Jesus, Sun and Shield art thou",,"Horatius Bonar",,,,"jesus_sun_and_shield_art_thou","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Jesus, Sun and Shield art Thou;


Sun and Shield for ever:


Never canst Thou cease to shine,


Cease to guard us never.


Cheer our steps as on we go,


Come between us and the foe.



2 Jesus, Bread and Wine art Thou,


Wine and Bread for ever:


Never canst Thou cease to feed,


Or refresh us never.


Feed we still on Bread Divine,


Drink we still this heavenly Wine.



3 Jesus, Love and Life art Thou,


Life and Love for ever:


Ne'er to quicken shalt Thou cease,


Or to love us never.


All of life or love we need


Is in Thee, in Thee indeed.



4 Jesus, Peace and Joy art Thou,


Joy and Peace for ever:


Joy that fades not, changes not,


Peace that leaves us never.


Joy and peace we have in Thee,


Now and through eternity.



5 Jesus, Song and Strength art Thou,


Strength and Song for ever:


Strength that never can decay,


Song that ceaseth never.


Still to us this strength and song


Through eternal days prolong.



Amen."
99,"No, not despairingly come I to thee","No, Not Despairingly Come I to Thee","Horatius Bonar",,,,"no_not_despairingly_come_i_to_thee","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 No, not despairingly


Come I to Thee;


No, not distrustingly


Bend I the knee:


Sin hath gone over me,


Yet is this still my plea,


Jesus hath died.



2 Ah! Mine iniquity


Crimson has been,


Infinite, infinite, 


Sin upon sin;


Sin of not loving Thee,


Sin of not trusting Thee,


Infinite sin.



3 Lord, I confess to Thee


Sadly my sin;


All am tell I Thee,


All I have been:


Purge Thou my sin away,


Wash Thou my soul this day;


Lord, make me clean.



4 Faithful and just art Thou,


Forgiving all;


Loving and kind art Thou


When poor ones call:


Lord, let the cleansing blood,


Blood of the Lamb of God,


Pass o'er my soul.



5 Then all is peace and light


This soul within;


Thus shall I walk with Thee,


The loved Unseen;


Leaning on Thee, my God,


Guided along the road,


Nothing between.



Amen."
100,"Not what my hands have done","Not What My Hands Have Done","Horatius Bonar",,,,"not_what_these_hands_have_done_bonar","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Not what these hands have done 


Can save this guilty soul; 


Not what this toiling flesh has borne 


Can make my spirit whole.



2 Not what I feel or do 


Can give me peace with God; 


Not all my prayers and sighs and tears 


Can bear my awful load. 



3 Thy work alone, O Christ,


Can ease this weight of sin; 


Thy blood alone, O Lamb of God,


Can give me peace within.



4 Thy love to me, O God,


Not mine, O Lord, to Thee,


Can rid me of this dark unrest,


And set my spirit free.



5 Thy grace alone, O God,


To me can pardon speak;


Thy power alone, O Son of God,


Can this sore bondage break.



6 I bless the Christ of God;


I rest on love Divine;


And with unfaltering lip and heart,


I call this Saviour mine.



Amen."
101,"O Everlasting Light, Giver of dawn and day",,"Horatius Bonar",,,,"o_everlasting_light_giver_of_dawn_and_da","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 O Everlasting Light,


Giver of dawn and day,


Dispeller of the ancient night


In which creation lay;



2 O Everlasting Light,


Shine graciously within;


Brightest of all on earth that's bright,


Come, shine away my sin.



3 O Everlasting Truth,


Truest of all that's true,


Sure guide of erring age and youth,


Lead me, and teach me too.



4 O Everlasting Strength,


Uphold me in the way;


Bring me, in spite of foes, at length


To joy and light and day.



5 O Everlasting Love,


Wellspring of grace and peace,


Pour down Thy fulness from above,


Bid doubt and trouble cease.



6 O Everlasting Rest,


Lift off life's load of care;


Relieve, revive this burdened breast,


And every sorrow bear.



7 Thou art in heaven our All,


Our All on earth art Thou;


Upon Thy gracious Name we call,


Lord Jesus, bless us now.



Amen.


"
102,"O love of God, how strong and true","O Love of God, How Strong and True","Horatius Bonar",,,,"o_love_of_god_how_strong_and_true","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 O love of God, how strong and true! 


Eternal, and yet ever new; 


Uncomprehended and unbought, 


Beyond all knowledge and all thought. 



2 O love of God, how deep and great!


Far deeper than man's deepest hate;


Self-fed, self-kindled like the light,


Changeless, eternal, infinite.



3 O heavenly love, how precious still 


In days of weariness and ill, 


In nights of pain and helplessness, 


To heal, to comfort, and to bless! 



4 O wide-embracing, wondrous love! 


We read thee in the sky above,


We read thee in the earth below, 


In seas that swell, and streams that flow. 



5 We read thee best in Him who came 


To bear for us the cross of shame; 


Sent by the Father from on high, 


Our life to live, our death to die. 



6  We read thy power to bless and save,


E'en in the darkness of the grave; 


Still more in resurrection light 


We read the fullness of thy might. 



7 O love of God, our shield and stay 


Through all the perils of our way!


Eternal love, in thee we rest, 


For ever safe, for ever blest. 



Amen."
103,"O Love that casts out fear","O Love that casts out fear","Horatius Bonar",,,,"o_love_that_casts_out_fear","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 O love that casts out fear,


O Love that casts out sin,


Tarry no more without,


But come and dwell within!



2 True sunlight of the soul,


Surround us as we go;


So shall our way be safe,


Our feet no straying know.



3 Great love of God, come in!


Well-spring of heavenly peace;


Thou Living Water, come!


Spring up, and never cease.



4 Love of the living God,


Of Father and of Son;


Love of the Holy Ghost,


Fill Thou each needy one."
104,"Pray, brethren, pray!","Pray, Brethren, Pray!","Horatius Bonar",,,,"pray_brethren_pray_the_sands_are_falling","TT","Timeless Truths",0,"Non-Archaic","1 Pray, brethren, pray!


The sands are falling;


Pray, brethren, pray!


God's voice is calling.


Yon turret strikes the dying chime;


We kneel upon the verge of time: 



Refrain:


Eternity is drawing nigh!


Eternity is drawing nigh! 



2 Praise, brethren, praise!


The skies are rending;


Praise, brethren, praise!


The fight is ending.


Behold, the glory draweth near,


The King Himself will soon appear: [Refrain]



3 Watch, brethren, watch!


The years are dying;


Watch, brethren, watch!


Old time is flying.


Watch as men watch the parting breath,


Watch as men watch for life or death: [Refrain]



4 Look, brethren, look!


The day is breaking;


Hark, brethren, hark!


The dead are waking.


With girded loins all ready stand,


Behold, the Bridegroom is at hand: [Refrain]"
105,"The cross, it standeth fast","Hallelujah for the Cross!","Horatius Bonar",,,,"the_cross_it_standeth_fast","FHOP","Favorite Hymns of Praise",1967,"Gender Neutral","1 The cross, it standeth fast,


Hallelujah, hallelujah!


Defying every blast,


Hallelujah, hallelujah!


The winds of hell have blown,


The world its hate hath shown,


Yet it is not overthrown,


Hallelujah for the cross!



Chorus:


Hallelujah, hallelujah,


Hallelujah for the cross!


Hallelujah, hallelujah,


It shall never suffer loss! 	



2 It is the old cross still,


Hallelujah, hallelujah!


Its triumph let us tell,


Hallelujah, hallelujah!


The grace of God here shone,


Thro' Christ the blessed Son,


Who did for sin atone,


Hallelujah for the cross! (Chorus)



3 'Twas here the debt was paid,


Hallelujah, hallelujah!


Our sins on Jesus laid,


Hallelujah, hallelujah!


So round the cross we sing


Of Christ our offering,


Of Christ our living King,


Hallelujah for the cross!  (Chorus) "
106,"This is the hour of banquet and of song",,"Horatius Bonar",,,,"this_is_the_hour_of_banquet_and_of_song","EH1982","Hymnal 1982: according to the use of the Episcopal Church",1985,"Gender Neutral","1. This is the hour of banquet and of song;


this is the heavenly table spread for me;


here let me feast, and feasting, still prolong


the brief, bright hour of fellowship with thee.



2. Too soon we rise; we go our several ways;


the feast, though not the love, is past and gone,


the Bread and Wine consumed: yet all our days


thou still art here with us--our Shield and Sun.



3. Feast after feast thus comes and passes by,


yet, passing, points to the glad feast above,


giving us foretaste of the festal joy,


the Lamb's great marriage feast of bliss and love. "
107,"Through good report and evil, Lord",,"Horatius Bonar",,,,"through_good_report_and_evil_lord","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Through good report and evil, Lord,


Still guided by Thy faithful word,


Our staff, our buckler, and our sword,


We follow Thee.



2 In silence of the lonely night,


In the full glow of day's clear light,


Through life's strange windings, dark or bright,


We follow Thee.



3 Strengthened by Thee we forward go,


'Mid smile or scoff or friend or foe,


Through pain or ease, through joy or woe,


We follow Thee.



4 With enemies on every side,


We lean on Thee, the Crucified;


Forsaking all on earth beside,


We follow Thee.



5 O Master, point Thou out the way,


Nor suffer Thou our steps to stray;


Then in the path that leads to day,


We follow Thee.



6 Whom have we in the heaven above,


Whom on this earth, save Thee, to love?


Still in Thy love we onward move;


We follow Thee.



Amen."
108,"Thy way, not mine, O Lord","Thy Way, Not Mine, O Lord","Horatius Bonar",,,,"thy_way_not_mine_o_lord","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Thy way, not mine, O Lord,


However dark it be:


Lead me by Thine own hand,


Choose out the path for me.


Smooth let it be or rough,


It will be still the best;


Winding or straight, it leads


Right onward to Thy Rest



2 I dare not choose my lot;


I would not if I might:


Choose Thou for me, my God;


So shall I walk aright.


Take Thou my cup, and it


With joy or sorrow fill


As best to Thee may seem;


Choose Thou my good and ill.



3 Choose Thou for me my friends,


My sickness or my health;


Choose Thou my cares for me,


My poverty or wealth.


Not mine, not mine the choice


In things or great or small;


Be Thou my guide, my strength,


My wisdom, and my all."
109,"Thy works, not mine, O Christ","Thy Works, Not Mine, O Christ","Horatius Bonar",,,,"thy_works_not_mine_o_christ","TH1961","Trinity Hymnal",1961,,"Thy works, not mine, O Christ,

Speak gladness to this heart;

They tell me all is done;

They bid my fear depart.

To whom, save thee,

Who canst alone

For sin atone,

Lord, shall I flee?

Thy pains, not mine, O Christ,

Upon the shameful tree,

Have paid the law's full price

And purchased peace for me.

Thy cross, not mine, O Christ,

Has borne the awful load

Of sins that none in heav'n

Or earth could bear but God.

Thy righteousness, O Christ,

Alone can cover me:

No righteousness avails

Save that which is of thee."
110,"Upward where the stars are burning",,"Horatius Bonar",,,,"upward_where_the_stars_are_burning","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Non-Archaic","1 Upward where the stars are burning,


Silent, silent in their turning,


Round the never changing pole;


Upward where the sky is brightest,


Upward where the blue is lightest,


Lift I now my longing soul.



2 Far above that arch of gladness,


Far beyond these clouds of sadness,


Are the many mansions fair.


Far from pain and sin and folly,


In that palace of the holy,


I would find my mansion there.



3 Where the glory brightly dwelleth,


Where the new song sweetly swelleth,


And the discord never comes;


Where life's stream is ever laving,


And the palm is ever waving,


That must be the home of homes.



4 Where the Lamb on high is seated,


By ten thousand voices greeted,


Lord of lords, and King of kings.


Son of Man, they crown, they crown Him,


Son of God, they own, they own Him;


With His Name the palace rings.



5 Blessing, honor, without measure,


Heavenly riches, earthly treasure,


Lay we at His bless'd feet;


Poor the praise that now we render,


Loud shall be our voices yonder,


When before His throne we meet.



Amen."
