hymnalID,"hymnalTitle","editors","publisher",publicationState 1,"publicationState 2",publicationDate,"denominations",tags
HSSW1854,"Hymns for Sunday School Worship","Crosby, Nichols &  Co.","Crosby, Nichols & Co.",Boston,"Mass.",1854,"",
HSSY1854,"Hymns for Sunday Schools, Youth and Children","Carlton & Porter","Carlton & Porter",New York,"",1854,"Methodist Episcopal Church",
MTS51854,"Melodies for the Temperance Ship. 5th thousand","Phineas Stowe; Phineas Stowe","Phineas Stowe",Boston,"Mass.",1854,"",Temperance
RCFC1854,"Rohr's Collection of Favorite Catholic Melodies for Church, School, Home ...","Philip Rohr; Thomas B. Noonan & Co.","Thomas B. Noonan & Co.",Boston,"Mass.",1854,"Roman Catholic Church",
RFCM1854,"Rohr's Favorite Catholic Melodies","Philip Rohr","Patrtick Donohoe",Boston,"Mass.",1854,"Roman Catholic Church",
MSPH,"Sacred Poems and Hymns","","Grand Rapids, MI: Christian Classics Ethereal Library",,"",1854,"Moravian",
SH1854,"Select Hymns","James H. Linsley; Gustavus F. Davis; Henry Miller","Henry Miller",Turbotville,"Penn.",1854,"",
SSHB1854,"Sunday School Hymn Book","No. 11 Bible House","No. 11 Bible House",New York,"N.Y.",1854,"Catholic Church",
ASHB1854,"The American School Hymn Book","Asa Fitz; Crosby, Nichols &  Co.","Crosby, Nichols & Co.",Boston,"",1854,"",
CM1854a,"The Canadian Minstrel","Schuyler Stewart; Canada Christian Advocate","Canada Christian Advocate",Hamilton,"Canada West",1854,"Canadian hymnals (general)",
C1854,"The Carol","L. Crandall; Seventh-Day Baptist Publication Society","Seventh-Day Baptist Publication Society",New York,"N.Y.",1854,"Seventh-Day Baptist General Conference",
CP1854,"The Christian Psalmist","S. W. Leonard; A. D. Fillmore; S. W. Leonard","S. W. Leonard",Louisville,"Ky.",1854,"Disciples of Christ. Christian Churches. Campbelli",
MH1854,"The Millennial Harp","Joseph Marsh; Joseph Marsh","Joseph Marsh",New York,"N.Y.",1854,"Adventist hymnals (general)",
SSCC1854,"The Sabbath School: a complete collection of hymns and tunes for Sabbath schools, families, and social gatherings","William Williams; Oliver Ditson & Co.","Oliver Ditson & Co.",Boston,"Mass.",1854,"",Has Music
SC1854,"The Singer's Choice","Lindsey Watson; John P. Morton & Co.","John P. Morton & Co.",Louisville,"Ky.",1854,"",
SB1854a,"The Singing Book for Boys' and Girls' Meetings: a collection of easy songs and tunes","Wm. B. Bradbury; Ivison & Phinney","Ivison & Phinney",New York,"",1854,"",Has Music
SSSH1854,"The Social and Sabbath School Hymn-Book. (5th ed.)","George N. Allen,  A. M.; J. M. Fitch","J. M. Fitch",Oberlin,"Oh.",1854,"",
SHR1854,"The Social Harp. Rev.","J. Anderson; S. B. Howard; Hull & Bro.","Hull & Bro.",Louisville,"Ky.",1854,"Cumberland Presbyterian Church",
SHMC1854,"The Southern Harmony and Musical Companion. New edition, thoroughly revised and much enlarged","E. W. Miller; William Walker","E. W. Miller",Philadelphia,"",1854,"",Has Music
ZSCH1853,"The Zion Songster: a Collection of Hymns and Spiritual Songs, Generally Sung at Camp and Prayer Meetings, and in Revivals or Religion  (95th ed.)","Peter D. Myers; Clark, Austin & Smith","Clark, Austin & Smith",New York,"",1854,"Methodist Episcopal Church (North)",
VS1854,"Vestry Songs","Massachusetts Sabbath School Society","Massachusetts Sabbath School Society",Boston,"Mass.",1854,"",
ZHUO1854,"Zion's Hymns, for the Use of the Original Free-Will Baptist Church of      North Carolina","R. K. Hearn; J. S. Bell; J. Randolph","",Falkland,"N.C.",1854,"Free Will Baptists",
CMCH1855,"Church Music, a Collection of Hymn Tunes.","Benjamin Franklin Baker; Oliver Ditson & Co.","Oliver Ditson & Co.",Boston,"Mass.",1855,"",
CMWS1855,"Church music: with selections for the ordinary occasions of public and social worship, from the Psalms and hymns of the Presbyterian Church in the United States of America","St. Peter's Church (Rochester, N.Y.)","E. Darrow & Brother",Rochester [N.Y.],"",1855,"Presbyterian Church in the United States",Has Music
DCSS1855,"Der Christliche Saenger, eine Sammlung der Vornehmsten und                 Gebraeuchlichsten Lieder","Samuel Cassel","Samuel Cassel",Skippackville,"Penn.",1855,"Mennonite hymnals (general)",
DGVS1855,"Die Geistliche Viole: oder, eine kleine Sammlung Geistreicher Lieder. 12th ed.","Carl Hammer","Carl Hammer",Cleveland,"Oh.",1855,"Evangelical Association of North America",
GVOE1855,"Geistliche viole: oder eine kleine Sammlung Geistreicher Lieder zum Gebrauch der Evangelischen Gemeinschaft und heilsuchender Seelen uberhaupt.","Evangelical Association of North America","Carl Hammer",Cleveland,"Oh.",1855,"Evangelical Church",No Hymns
HSOP1855,"Hymns, Selected and Original, for Public and Private Worship, published by General Synod for the Evangelical Lutheran Church. 68th ed. (8th rev. ed.)","T. Newton Kurtz","T. Newton Kurtz",Baltimore,"Md.",1855,"Evangelical Lutheran Church in North America, 1861",
LH1855,"Linden Harp: a rare collection of popular melodies adapted to sacred and moral songs, original and selected. Illustrated. Also a manual of...","Lilla Linden","Printed for the author",New York,"",1855,"",Has Music
MoD1852,"Manual of Devotion: or religious exercises for the morning and evening of each day of the month, for the use of schools and private families","N. C. Brooks, a. M.; A. S. Barnes & Co.","A. S. Barnes & Co.",New York,"",1855,"",
MS1855,"Mission Songs: a collection of hymns and music, designed for Sabbath schools","E. Fobes; Heath & Graves","Heath & Graves",Boston,"",1855,"",Has Music
PCHT1855,"Plymouth Collection of Hymns and Tunes; for the use of Christian Congregations","Henry Ward Beecher; A. S. Barnes & Compnay","A. S. Barnes & Company",New York,"",1855,"",Has Music
SSFS1855,"Sacred Songs for Family and Social Worship: comprising the most approved spiritual hymns with chaste and popular tunes ( New ed. rev. and enl.)","American Tract Society","American Tract Society",New York,"",1855,"",Has Music
SLGG1855,"Sammlung auserlesener geistlicher Lieder, zum gemeinschaftlichen Gesang undeigenen Gebrauch in Christlichen Familien. Neue Ausgabe","Society of Separatists of Zoar","",Zoar,"Oh.",1855,"Society of Separatists of Zoar",
S4SR1855,"Songs for the School Room","Elias Nason; John G. Tilton & Co.","John G. Tilton & Co.",Newburyport,"Mass.",1855,"",
SSM11855,"Spiritual Songs for a Month. 1st Am. from the 6th Eng. ed.","John Charles Ryle; Anson D. F. Randolph","Anson D. F. Randolph",New York,"N.Y.",1855,"",
CHB71855,"The Christian Hymn Book. 7th ed.","Lawrance & Winchell","Lawrance & Winchell",Yellow Springs,"Oh.",1855,"Disciples of Christ. Christian Churches. Campbelli",
JSSO1855,"The Juvenile Singing School, Original and Selected","T. R. Weber; T. R. Weber","T. R. Weber",Penn.,"",1855,"",
LRHB1855,"The Lecture-Room Hymn-Book: containing the psalms and hymns of the book of common prayer, together with a choice selection of additional hymns, and an appendix of chants and tunes...","Rev. Dudley A. Tyng; J. B. Lippincott & Co.","[J. D. Lippincott & Co.]",Philadelphia,"",1855,"Episcopal Church",
SSSH1855,"The Sabbath School Service and Hymn Book","Crosby, Nichols &  Co.","Crosby, Nichols & Co.",Boston,"Mass.",1855,"",
SL1855,"The Sacred Lute","E. T. Winkler; Southern Baptist Publication Society","Southern Baptist Publication Society",Charleston,"",1855,"Southern Baptist Convention, 1845-",
SH1855,"The Social Harp","J. G. McCurry; D. W. Patterson; J. F. Garst; T. K. Collins, Jr.","T. K. Collins, Jr.",Philadelphia,"Penn.",1855,"",
WSHC1855,"The Wesleyan Sacred Harp: a collection of choice tunes and hymns for prayer class and camp meetings, choirs and congregational singing","Rev. W. McDonald; S. Hubbard, Esq; John P. Jewett and Company","John P. Jewett and Company",Boston,"",1855,"Methodist Episcopal Church (North)",Has Music
WHCS1855,"The Western Harp: a Collection of Social and Revival Hymns","Methodist Book Depository","Methodist Book Depository",St. Louis,"Mo.",1855,"Methodist hymnals (general)",
SB1854,"A Service Book: with a selection of tunes and hymns for Sabbath schools (6th ed.)","Henry Bacon; A. Tompkins","A. Tompkins",Boston,"",1856,"",Has Music
CPHA1856,"Christian Psalms and Hymns to Aid in Public and Private Devotion","Jasper Hazen; M. Cummings","M. Cummings",Irvington,"N.J.",1856,"Christian Church, General Convention",
CHTB1856,"Congregational Hymn and Tune Book; containing the Psalms and Hymns of the General Association of Connecticut, adapted to Suitable Tunes","Horace C. Peck","Peck, White & Peck",New Haven,"",1856,"Congregational Christian Churches, 1931-",Has Music
FSBR1856,"Family Singing Book. Rev ed. with Supplement","Sylvanus Cobb; Sylvanus Cobb","Sylvanus Cobb",Boston,"Mass.",1856,"",
JHGL1856,"Johann Heermanns geistliche Lieder","Heermann, Johann,  1585-1647.","S. G. Liefsching",Stuttgart,"",1856,"",No Hymns
LH1856,"Linden Harp","L. Linden; Daniel Burgess & Co.","Daniel Burgess & Co.",New York,"N.Y.",1856,"",
LGHS1856,"Lyra Germanica: hymns for the Sundays and chief festivals of the Christian year","Catherine Winkworth; Thomas N. Stanford","Thomas N. Stanford",New York,"",1856,"",
M4TB1856,"Melodies for the Temperance Band","Phineas Stowe; Nathaniel Noyes","Nathaniel Noyes",Boston,"Mass.",1856,"",Temperance
MSHB1856,"Methodist Social Hymn Book","Rev. Stephen Parks; Carlton & Porter","Carlton & Porter",New York,"",1856,"Methodist hymnals (general)",
SM131856,"Sacred Melodies for Conference and Prayer Meetings, and for Social and Private Devotion (13th ed.)","Free Will Baptist Printing Establishment","Free Will Baptist Printing Establishment",Dover,"",1856,"Free Will Baptists",
S1856,"Selah: a collection of psalm and hymn tunes, introits, anthems, chants, motetts, choruses, etc. adapted to the use of classes, private circles, and worship assemblies","Thomas Hastings; A. S. Barnes & Co.","A. S. Barnes & Co.",New York,"",1856,"",Has Music
SMCB1856,"Select Melodies; Comprising the Best Hymns and Spiritual Songs in Common Use, and not generally found in standard church hymn-books: as also a number of original pieces, and translations from...German","William Hunter; Methodist Book Concern","Methodist Book Concern",Cincinnati,"",1856,"Methodist hymnals (general)",
SSH1856,"Sunday-School Hymns","American Sunday-School Union","American Sunday-School Union",Philadelphia,"",1856,"",
C2P61836,"The Choice: in two parts; Part I, containing Psalms and hymns, Part II, containing spiritual songs; designed for public and private worship (6th ed.)","William Dossey; Charles De Silver & Sons","Charles De Silver & Sons",Philadelphia,"",1856,"",
CHR1856,"The Church Harp. Rev. ed.","W. Hanby; United Brethren in Christ Conference Office","United Brethren in Christ Conference Office",Dayton,"Oh.",1856,"United Brethren in Christ",
H11856,"The Harp","John Pearson Jr.; J. V. Himes","J. V. Himes",Boston,"",1856,"",
ISHB1855,"The Infant-School Hymn-Book","Protestant Episcopal Society for Promtion of Evangelical Kno","Protestant Episcopal Society for Promotion of Evangelical Knowledge",New York,"",1856,"Episcopal Church",
KS1C1856,"The Key-Stone Collection of Church Music: a complete collection of hymn tunes, anthems, psalms, chants, & c. to which is added the physiological system for training choirs and teaching singing schools","A. N. Johnson; E. Claxton & Company","E. Claxton & Company",Philadelphia,"",1856,"",Has Music
PJP1856,"The Presbyterian Juvenile Psalmodist","Thomas Hastings; Presbyterian Board of Publication","Presbyterian Board of Publication",Philadelphia,"",1856,"Presbyterian hymnals (general)",Has Music
SSL1856,"The Sabbath School Lyre","New England Sabbath School Union","New England Sabbath School Union",Boston,"Mass.",1856,"",
SM1856,"The Sacred Minstrel","A. Fitz; Hickling, Swan & Brown","Hickling, Swan & Brown",Boston,"Mass.",1856,"",
HSBC1857,"Home Song Book, prepared for the use of the Children of the Home for the Friendless","American Female Guardian Society","American Female Guardian Society",New York,"",1857,"",
HSSY1857,"Hymns for Sunday Schools, Youth, and Children","Carlton & Porter","Carlton & Porter",New York,"",1857,"Methodist Episcopal Church",
HCC61857,"Hymns for the Church of Christ. (6th thousand)","Rev. Frederic H. Hedge; Rev. Frederic D. Huntington; Crosby, Nichols &  Co.","Crosby, Nichols & Co.",Boston,"Mass.",1857,"Unitarian Churches",
HSOP1852,"Hymns: selected and original, for public and  private worship (4th ed. 3rd rev. ed.)","T. Newton Kurtz","T. Newton Kurtz",Baltimore,"",1857,"General Synod of the Evangelical Lutheran Church in the United States",
JLSG1857,"Jesus-Lieder fuer Seine Glieder, sonderlich fuer Seine Kleine und Reine. Neu aufgelegt","","",New York,"N.Y.",1857,"",
SSC1857,"Sabbath School Choir","W. B. Bradbury; Ivison & Phinney","Ivison & Phinney",New York,"N.Y.",1857,"",
ASHB1858,"The American School Hymn Book. (New ed.)","Asa Fitz; Crosby, Nichols &  Co.","Crosby, Nichols & Co.",Boston,"",1857,"",
BHTB1868,"The Baptist Hymn and Tune Book: being "The Plymouth Collection" enlarged and adapted to the use of Baptist churches","John Stanford Holme; Sheldon, Blakeman & Co.","Sheldon, Blakeman & Co.",New York,"N.Y.",1857,"Baptist hymnals (general)",Has Music
CS1857,"The Christians' Songster","J. Cummings","",Concord,"N.H.?",1857,"",
CHBS1857,"The Congregational Hymn Book: for the service of the sanctuary","Elias Nason; John P. Jewett & Co.","John P. Jewett & Co.",Boston,"Mass.",1857,"Congregational Churches",
GHCM1857,"The Golden Harp: or, Camp-Meeting Hymns, Old and New, Set to Music","G. W. Henry; G. W. Henry","G. W. Henry",New York,"N.Y.",1857,"",
HSM1857,"The Harmoniad and Sacred Melodist","Asa Fitz; Bela Marsh","Bela Marsh",Boston,"Mass.",1857,"",
PLES1857,"The Psalms of Life: A Compilation of Psalms, Hymns, Chants, Anthems, &c. Embodying the Spiritual, Progressive and Reformatory Sentiment of the Present Age","John S. Adams; Oliver Ditson & Co.","Oliver Ditson & Co.",Boston,"",1857,"",Has Music
S1857,"The Sanctus","Edward Hamilton; Phillips, Sampson & Co.","Phillips, Sampson & Co.",Boston,"Mass.",1857,"",
SM21857,"The Spirit Minstrel. 2nd ed.","J. B. Packard; J. S. Loveland; Bela March","Bela March",Boston,"Mass.",1857,"Spiritualists (general)",
T1857,"The Thanksgiving","Isaac Baker Woodbury; F. J. Huntington","F. J. Huntington",New York,"N.Y.",1857,"",
WSHC1858,"The Wesleyan Sacred Harp: a collection of choice tunes and hymns for prayer class, and camp meetings, choirs, and congregational singing","Rev. W. McDonald; S. Hubbard; John P. Jewett & Co.","John P. Jewett & Co.",Boston,"",1857,"Methodist hymnals (general)",Has Music
CHUU1858,"A Collection of Hymns, for the use of the United Brethren in Christ: taken from the most approved authors, and adapted to public and private worship","Church of the United Brethren in Christ (1800-1889)","Vonnieda & Sowers, Agents",Dayton,"Oh.",1858,"United Brethren in Christ",
CP1858,"Children's Praise: a book of prayers and hymns for the children of the church","Ticknor & Fields","Ticknor & Fields",Boston,"",1858,"",
CM1858,"Church Melodies: collection of psalms and hymns, with appropriate music. For the use of congregations.","Thomas Hastings; Anson D. F. Randolph; Thomas S. Hastings","Anson D. F. Randolph",New York,"",1858,"",Has Music
DPS11858,"Die kleine Perlen-Samlung : oder Auswahl Geistreicher Lieder, Mehrstenthiels, von manuscripten genommen, zum Dienst, Gebrauch und Auferbauung... (1. Aufl.)","J. E. Pfautz; J. E. Pfautz","J. E. Pfautz",Ephrata,"Penn.",1858,"",
HUAM1858,"Hymns for the Use of the African Methodist Episcopal Zion Church. Impr. ed.","D. Fanshaw","D. Fanshaw",New York,"N.Y.",1858,"African Methodist Episcopal Zion Church",
HoCM1858,"Hymns of the Church Militant","Anna Warner; Robert Carter & Brothers","Robert Carter & Brothers",New York,"",1858,"",
HWDU1858,"Hymns of Worship: Designed for Use Especially in the Lecture Room, the Prayer Meeting and the Family","William S. and Alfred Martien","William S. and Alfred Martien",Philadelphia,"",1858,"Reformed, Congregationalist, and Presbyterian",
LHSS1858,"Liturgy and Hymns for Sunday Schools","Protestant Episcopal Society for the Promotion of Evangelica","Protestant Episcopal Society for the Promotion of Evangelical Knowledge",New York,"N.Y.",1858,"(Protestant) Episcopal Church",
MSSS1858,"Maynard's Selected Sabbath School Hymns. 4th ed.","Thomas Maynard; Roberts","Roberts",Utica,"N.Y.",1858,"",
PSSC1858,"Plymouth Sabbath School Collection: or, Hymns and Tunes","H. E. Matthews; John Zundel; A. S. Barnes & Co.","A. S. Barnes & Co.",New York,"",1858,"",Has Music
RG1858,"Revival Gems: a collection of spirit-stirring hymns. Specially adapted to revivals","Rev. Joseph Banvard; John F. Jewett & Company","John F. Jewett & Co.",Boston,"",1858,"",
RH1858,"Revival Hymns","Henry Ward Beecher; Philips, Sampson & Co.","Philips, Sampson & Co.",Boston,"",1858,"",
RMCS1858,"Revival Melodies: a Collection of Some of the Most Popular Hymns and Tunes","J. W. Dadmun; J. P. Magee","J. P. Magee",Boston,"Mass.",1858,"",
SSGM1858,"Sabbath School Gems of Music and Poetry: designed expressly for the Sabbath School","J. & A. Cruikshank; A. S. Barnes & Co.","A. S. Barnes & Co.",New York,"",1858,"",Has Music
SSB11858,"Spiritual Songs, Being One Hyndred Hymns Not to be Found in the Hymn Books Commonly Used.  New Am. from the Enl. English ed.","J. C. Pyle; Anson D. F. Randolph","Anson D. F. Randolph",New York,"N.Y.",1858,"",
SASH1858,"Supplement to the Advent and Sabbath Hymn Book","James White","",Battle Creek,"Mich.",1858,"Seventh-Day Adventist Church",
ASSM1858,"The Anniversaary and Sunday School Music Book No. 1-5","H. Waters; Horace Waters","Horace Waters",New York,"N.Y.",1858,"",
ASS1858,"The Anniversary and Sunday School Music Book Nos. 1 and 2 with additions","H. Waters; Horace Waters","Horace Waters",New York,"N.Y.",1858,"",
C41858,"The Chorus: or, a collection of choruses and hymns, selected and original, adapted especially to the class-room, and to meetings for prayer and Christian conference (7th ed., Imp. and Enl.)","A. S. Jenks; D. Gilkey; A. S. Jenks","A. S. Jenks",Philadelphia,"",1858,"",
CMNS1858,"The Christian Minstrel: a New System of Musical Notations; with a Collectionof Psalm Tunes, Anthems, & Chants ... 104th ed.","J. B. Aikin; T. K. & P. G. Collins","T. K. & P. G. Collins",Philadelphia,"Penn.",1858,"",
CS1858,"The Christian Songster: a collection of hymns and spiritual songs, usually sung at camp, prayer, and social meetings, and revivals of religion. Designed for all denominations","Joseph Bever","Printing Establishemnt of the United Brethren in Christ (Printer)",Dayton,"Oh.",1858,"United Brethren in Christ",
GH1858,"The Golden Harp","L. O. Emerson; Oliver Ditson & Co.","Oliver Ditson & Co.",Boston,"Mass.",1858,"",
MB1858,"The Message Bird","W. U. Butcher; T. C. Armstrong &  Co.","T. C. Armstrong &  Co.",Germantown,"Penn.",1858,"",
PMHB1858,"The Prayer Meeting Hymn Book: a Selection of Standard Evangelical Hymns for Prayer and Conference Meetings","J. F. Weishampel; Wortham & Cottrell","J. F. Weishampel / Wortham & Cottrell",Baltimore," Md. ; Richmond, Va.",1858,"",
PHSS1858,"The Primitive Hymns, Spiritual Songs and Sacred Poems Regularly Selected, Classified and Set in Order ... Stereotype ed.","B. Lloyd; Published for the Proprietors","Published for the Proprietors",La Mesa,"Calif.",1858,"Primitive (Old School) Baptists",
SHBB1858,"The Sabbath Hymn Book. Baptist ed.","Sheldon, Blakeman","Sheldon, Blakeman",New York,"N.Y.",1858,"Baptist hymnals (general)",
SL1858,"The Sacred Lyre: a new collection of hymns and tunes, for social and family worship","Rev. J. Aldrich; Andrew F. Graves","Andrew F. Graves",Boston,"",1858,"",Has Music
SSMB1858,"The Sunday-School Music Book: enlarged","C. C. Mudge","C. C. Mudge",Brooklyn,"",1858,"",Has Music
VH1858,"The Vestry Harp","N. M. Perkins; William Heath","William Heath",Boston,"Mass.",1858,"",
VHB1858,"The Vestry Hymn Book","E. Nason; J. P. Jewett & Co.","J. P. Jewett & Co.",Boston,"Mass.",1858,"",
UH1858,"Union Hymnal and music","H. B. Gower","H. B. Gower",Philadelphia,"Penn.",1858,"",
UPMH1858,"Union Prayer Meeting Hymns","A. Taylor; American Sunday School Union","American Sunday School Union",Philadelphia,"Penn.",1858,"",
CH1859,"A Collection of Hymns","","[Protestant Episcopal Church]",New York,"",1859,"Episcopal Church",
CHSP1859,"A Collection of Hymns: Supplementary to the Psalms and Hymns of Dr. Watts","W. C. Dana; Daniel Dana; McCarter & Dawson","Daniel Dana, Jr. / McCarter & Dawson",New York,"",1859,"Presbyterian Church in the U.S.A.",
CoSS1859,"A Collection of Sacred Song: being an eclectic compilation for the use of churches, families, and boarding-schools...","Charles Jerome Hopkins; Daniel Dana, Jr.","Daniel Dana, Jr.",New York,"",1859,"(Protestant) Episcopal Church",Has Music
PSHT1859,"A Pastor's Selection of Hymns and Tunes: for Worship in the Church and Family","N. C. Burt; J. B. Lippincott & Co.","J. B. Lippincott & Co.",Philadelphia,"",1859,"Presbyterian hymnals (general)",Has Music
SPHD1859,"A Selection of Psalms and Hymns for ... Diocese of Nova Scotia. 3rd ed.","William Gossip","William Gossip",Halifax,"Nova Scotia",1859,"Church of England in Canada",
SPHU1859,"A Selection of Psalms and Hymns for the Use of the Diocese of Nova Scotia. 3rd ed.","William Gossip","William Gossip",Halifax,"Nova Scotia",1859,"Canadian hymnals (general)",
AHCS1859,"Anniversary Hymns: or the Child's Sunday School Music Book Nos.1, 2, and 3 Complete","G. S. Scofield","G. S. Scofield",New York,"N.Y.",1859,"",
BHB1887,"The Baptist Hymn Book: comprising a large and choice collection of psalms, hymns and spiritual songs, adapted to the faith and order of the Old School, or Primitive Baptists (2nd stereotype Ed.)","Gilbert Beebe; Signs of the Times","Signs of the Times",Middletown,"N.Y.",1859,"Primitive Baptists",
CM1859,"Cottage Melodies; a hymn and tune book, for prayer and social meetings and the home circle","William B. Bradbury; Carlton & Porter; Sylvester Main","Carlton & Porter",New York,"",1859,"",Has Music
DGLZ1859,"Deutsches Gesangbuch: eine auswahl geistlicher Lieder aus allen Zeiten der Christlichen Kirche","Philip Schaff; Lindsay und Blakiston","Lindsay und Blakiston",Philadelphia,"",1859,"German Reformed Church (U.S.)",
DM21859,"Devotional Melodies: or, a collection of original and selected tunes and hymns, designed for congregational and social worship. (2nd ed.)","A. S. Jenks; A. S. Jenks","A. S. Jenks",Philadelphia,"",1859,"",Has Music
DM31859,"Devotional Melodies; or, a collection of original and selected tunes and hymns, designed for congregational and social worship. (3rd ed.)","A. S. Jenks; A. S. Jenks","A. S. Jenks",Philadelphia,"",1859,"",Has Music
GBHB1859,"General Baptist Hymn Book","G. P. Cavanah","The Author",Evansville,"Ind.",1859,"Baptist hymnals (general)",
HBMP1859,"Hymn Book of the Methodist Protestant Church","Book Concern of the Methodist Protestant  Church","Book Concern of the Methodist Protestant  Church",Baltimore,"",1859,"Methodist Protestant Church",
HP4Y1859,"Hymns and Poetry for the Young","Protestant Episcopal Society for the Promotion of Evangelica","Protestant Episcopal Society for the Promotion of Evangelical Knowledge",New York,"N.Y.",1859,"(Protestant) Episcopal Church",
HSFS1857,"Hymns for Schools and Families, Specailly Designed for the Children of the Church","Thos. O. Summers; Southern Methodist Publishing House","Southern Methodist Publishing House",Nashville,"",1859,"Methodist Episcopal Church, South, 1845- . Souther",
HHSS1859,"Hymns for the Household and Sabbath School","G. & C. Merriam","G. & C. Merriam",Springfield,"MA",1859,"",
HALC1859,"Hymns of the Ages: selections from Lyra Catholica, Germanica, Apostolica and Other Sources","F. D. Huntington; Phillips, Sampson & Co.","Phillips, Sampson & Co.",Boston,"Mass.",1859,"",
O1859,"Oriola","W. B. Bradbury; Biglow & Main Co.","Biglow & Main Co.",New York,"N.Y.",1859,"",
RMCS1859,"Revival Melodies: a Collection of Some of the Most Popular Hymns and Tunes. Rev. & enl. ed.","J. W. Dadmun; J. P. Magee","J. P. Magee",Boston,"Mass.",1859,"",
SH4C1859,"Sacred Hymns for Children","W. & E. Howe","W. & E. Howe",Boston,"Mass.",1859,"",
SMSW1859,"Sacred Melodies for Social Worship","Rev. H. Mattison; Mason Brothers","Mason Brothers",New York,"",1859,"Methodist hymnals (general)",Has Music
SHDA1859,"Seamen's Hymns and Devotional Assistant","American Seamen's Friend Society","American Seamen's Friend Society",New York,"N.Y.",1859,"",
SUSL1759,"Songs of the Unity: a Selection of Lyrics for Public Worhip, with Tunes    for Congregational Use","G. H. Hepworth; Shepard, Clark & Brown","Shepard, Clark & Brown",Boston,"Mass.",1859,"Unitarian Churches",
C1859,"The Choralist","George T. Day; Free Will Baptist Printing Establishment","Free Will Baptist Printing Establishment",Dover,"N.H.",1859,"Free Will Baptists",
CHB1859,"The Church Hymn Book","J. Winebrenner; General Eldership, Church of God","General Eldership, Church of God",Harrisburg,"Penn.",1859,"Churches of God in North America",
MHBT1863,"The Mother's Hymn Book. (Third stereotyped ed. Rev. and enl.)","Thomas Hastings; Anson D. F. Randolph","Anson D. F. Randolph",New York,"",1859,"",
NCHT1859,"The New Congregational Hymn and Tune Book, for Public, Social and Private  Worship","Elias Nason; John P. Jewett and Company; Henry P. B. Jewett","John P. Jewett and Company / Henry P. B. Jewett",Boston / Cleveland,"",1859,"Congregational Christian Churches, 1931-",Has Music
PMTB1859,"The Prayer Meeting Tune Book","American Sunday School Union","American Sunday School Union",Philadelphia,"Penn.",1859,"Young Men's Christian Association",
RCPH1859,"The Revivalist: a Collection of Popular Hymns for Revival Occasions","J. Q. A. Fleharty; Charles Faxon","Charles Faxon",Galesburg,"Ill.",1859,"Methodist Episcopal Church (North)",
SC1859,"The Sabbath Chimes","C. C. Mudge","",New York,"N.Y.",1859,"",
SSB1859,"The Sabbath School Bell: a new collection of choice hymns and tunes, original and standard; carefully and simply arranged as solos, duietts, trios, semi-choruses and choruses, and for organ..(Enl. Ed)","Horace Waters; Presbyterian Board of Publication","Presbyterian Board of Publication",Philadelphia,"",1859,"",Has Music
SL1859,"The Sacred Lyre","J. Aldrich; Andrew F. Graves","Andrew F. Graves",Boston,"Mass.",1859,"",
SP1859,"The Southern Psalmist","J. R. Graves; J. M. Pendleton; Graves, Marks & Co.","Graves, Marks & Co.",Nashville,"Tenn.",1859,"Southern Baptist Convention, 1845-",
WCSS1859,"The Westminster Collection of Sabbath School Hymns and Tunes","H. Waters; Horace Waters","Horace Waters",New York,"N.Y.",1859,"",
UPMH1859,"Union Prayer Meeting Hymns","The American Sunday School Union","The American Sunday School Union",Boston,"Mass.",1859,"Young Men's Christian Association",
YSFL1859,"Young Singer's Friend: or, the Lee Avenue collection of hymns and songs, sacred and secular, suitable for Sabbath schools, social circles, children's meetings, concerts, anniversaries, etc. ","Jeremiah Johnson; A. S. Barnes & Co.","A. S. Barnes & Co.",New York,"N.Y.",1859,"Reformed Protestant Dutch Church",
BHTS1860,"A Book of Hymns and Tunes: for the Sunday-School, the Congregation and Home: 2nd ed.","Samuel Longfellow","Walker, Wise & Company",Boston,"",1860,"Unitarian Churches",Has Music
CHSR1860,"A Collection of Hymns for the Sanctuary. Rev.ed. with a Supplement","G. E. Ellis; J. Monroe & Co.","J. Monroe & Co.",Boston,"Mass.",1860,"Unitarian Churches",
ASS1860,"American Sunday School Hymn Book. 2nd ed.","American Sunday School Union","American Sunday School Union",Philadelphia,"Penn.",1860,"",
ASS1860a,"American Sunday School Hymn Book. New ed.","American Sunday School Union","American Sunday School Union",Philadelphia,"Penn.",1860,"",
BCTH1860,"Baptist Chorals: a tune and hymn book designed to promote general congregational singing; containing one hundred and sixty four tunes adapted to about four hundred choice hymns ","Dr. A. Brooks Everett; Rev. B. Manly, Jr, D.D.; Sheldon & Co.","Sheldon & Co.",New York,"",1860,"Baptist hymnals (general)",Has Music
CCBC1860,"Church Choral-Book, Containing Tunes and Hymns . . .","Benjamin Franklin Baker; Crosby, Nichols, Lee & Co.","Crosby, Nichols, Lee & Co.",Boston,"Mass.",1860,"",
HSCC1860,"Harmonia Sacra, being a Compilation of Church Music. 10th ed","Joseph Funk","The Authors",Rockingham Co.,"Va.",1860,"",
HTSS1860,"Hymns and Tunes for the Sunday School, the Congregation and the Home","S. Longfellow; Walker, Wise & Co.","Walker, Wise & Co.",Boston,"Mass.",1860,"Unitarian Churches",
HCJS1860,"Hymns for Children (2nd ed.)","Rev. J. Freeman Young; Daniel Dana, Jr.","Daniel Dana, Jr.",New York,"",1860,"",Has Music
