firstLine,textTitle,refrainFirstLine,languages,authors,meter,textAuthNumber,textSources
"A cross of shame uplifted high",,"O wondrous love so great",,"J. Stewart Smith",,a_cross_of_shame_uplifted_high,
"A crowd fills the court of the temple","Hosanna, hosanna",,,"Frederick W. Goadby",,a_crowd_fills_the_court_of_the_temple,
"A crowd of happy children","Palm bearers","We're a band of little pilgrims",,"M. J. Preston",,a_crowd_of_happy_children,
"A crown, but not a crown of thorns",,,,,,a_crown_but_not_a_crown_of_thorns,
"A crown of glory bright","Nearer my home","I'm nearer my home",,"Alice Cary",,a_crown_of_glory_bright,
"A crown of gold surpassing rare","A crown of gold surpassing rare",,,,8.8.8.8,a_crown_of_gold_surpassing_rare,
"A crown of life laid up above",,,,"M. Lowrie Hofford",,a_crown_of_life_laid_up_above,
"A crown of peace to me is given",,,,"J. D. Allen",,a_crown_of_peace_to_me_is_given,
"A crown of righteousness",,,,"Charles Wesley",,a_crown_of_righteousness,
"A crown of thorns he wore","Forgiveness full and free","Yet, O forgiveness full",,"E. C. Ellsworth",,a_crown_of_thorns_he_wore,
"A crown of thorns my Savior wore",,"Beautiful crowns we soon shall wear",,"Haldor Lillenas",,a_crown_of_thorns_my_savior_wore,
"A crown of thorns the Savior wears",,"No more the platted crown of thorns",,"Laura E. Newell",,a_crown_of_thorns_the_savior_wears,
"A crown of thorns the Savior wore",,,,"Hosea Ballou",,a_crown_of_thorns_the_savior_wore,
"A crucified Savior, a now risen Lord","Come in and dwell with me","Come in, come in",,"Franklin L. Eiland",,a_crucified_savior_a_now_risen_lord,
"A cruel old King from a castle strong","Bury him deeply down","Bury him down, deeply down",,"H. S. Taylor",,a_cruel_old_king_from_a_castle_strong,
"A crumb of mercy, Lord, I crave",,,,"John Fawcett",,a_crumb_of_mercy_lord_i_crave,
"A cry as of pain, again and again","O what shall the answer be",,,"Sarah Geraldina Stock",,a_cry_as_of_pain_again_and_again,
"A cry comes over the deep",,"Ring out the tide of song",,"Mary B. Reese",,a_cry_comes_over_the_deep,
"A cry comes to us o'er the water","Lend a hand","Ye ships that are safe",,"Ada Blenkhorn",,a_cry_comes_to_us_oer_the_water,
"A cry comes up from the darkness","The volunteer's song","Are you saved",,"Russell Kelso Carter",,a_cry_comes_up_from_the_darkness,
"A cry from afar comes","Cry of the heathen","Hear the cry sound abroad",,"Ida N. Tarbox",,a_cry_from_afar_comes,
"A cry, from Libyan shores","Ethiopia redeemed",,,,,a_cry_from_libyan_shores,
"A cry in the night and a child is born",,,,"Geoffrey Ainger",,a_cry_in_the_night_and_a_child_is_born,
"A cry is heard on every hand",,"My soul's found something",,"L. L. Pickett",,a_cry_is_heard_on_every_hand,
"A cry o'er the water",,"O, listen to their pleading",,,,a_cry_oer_the_water,
"A cry upon the winds is borne",,,,,,a_cry_upon_the_winds_is_borne,
"A csillagos egnek seregei ott fent",,,,,,a_csillagos_egnek_seregei_ott_fent,
"A cup of cold water",,,,"Eliza E. Hewitt",,a_cup_of_cold_water,
"[A Dab of Earthly Things]","A Dab of Earthly Things",,,"John Core",,a_dab_of_earthly_things,"<i>Shores of Thought and Feeling</i> (Wayne Leupold, 2004)"
"A dark lane in the city, contained a drunkard's cot","The broken hearted",,,,,a_dark_lane_in_the_city_contained_a_drun,
"A darkening veil passed o'er the moon",,,,,,a_darkening_veil_passed_oer_the_moon,
"A darling child lay dying","Meet me over there","I'm going home to glory",,"Charles Walker Ray",,a_darling_child_lay_dying,
"A darling child ran down the highway","Careless driver","O drivers please do not be careless",,"J. Graydon Hall",,a_darling_child_ran_down_the_highway,
"A darling child was lying still","Papa don't know the way",,,"Henry J. Zelley",,a_darling_child_was_lying_still,
"A day, a day of glory",,,,"John Mason Neale",,a_day_a_day_of_glory,
"A day for solemn trial","The Testing.",,English,"Joseph Morris",6.6.7.6.6.6.7.6,a_day_for_solemn_trial,
"A day is coming soon",,,,"John McPhail",,a_day_is_coming_soon,
"A day of awful grandeur dawns",,,,,,a_day_of_awful_grandeur_dawns,
"A day of joyful singing",,"Sing Noel",,,,a_day_of_joyful_singing,
"A day of kind remembrance","The true Christmas",,,"C. Louise Bell",,a_day_of_kind_remembrance,
"A day of reckoning is coming",,"I find in reading the Bible",,"Fred Rich",,a_day_of_reckoning_is_coming,
"A day of work is done",,,,,,a_day_of_work_is_done,
"A day was born of the night",,"'Twas only a common day",,"Rufus L. Dodd",,a_day_was_born_of_the_night,
"A day will come, a perfect day",,"Then I will patient be",,"James Rowe",,a_day_will_come_a_perfect_day,
"A day will dawn when from on high",,,,"R. Menzies",,a_day_will_dawn_when_from_on_high,
"A day's work for the Savior",,,,"T. Kuebler",,a_days_work_for_the_savior,
"A dear little army of children","This grand little army","How marching in goodly array",,"H. Jones",,a_dear_little_army_of_children,
"A dear little baby we welcome today",,,,"Louise M. Oglevee",,a_dear_little_baby_we_welcome_today,
"A dear little bird, high up in",,,,"W. B. Dingman",,a_dear_little_bird_high_up_in,
"A dear little face","Keep me in touch with Thee",,,"J. R. Hill",,a_dear_little_face,
"A dear one from home is gone",,"Gone home",,"A. Walls",,a_dear_one_from_home_is_gone,
"A debt of love I owe to Jesus","My debt of love",,,"Edith Margaret Clarkson",,a_debt_of_love_i_owe_to_jesus,
"A debtor to mercy alone","A Debtor to Mercy Alone",,English,"Augustus Montague Toplady, 1740-1778",,a_debtor_to_mercy_alone,
"A deeper, trueer love we claim",,,,,,a_deeper_truer_love_we_claim,
"A demoniac comes from the tombs",,"But Jesus has the power to cure",,"Flora Hamilton Cassel",,a_demoniac_comes_from_the_tombs,
"[A Den For the Fox]","A Den For the Fox",,,"Richard Leach",8.8.8.8,a_den_for_the_fox,"<i>Carpenter, Why Leave the Bench</i> (Selah Publishing, 1996)"
"A despot throng, rich, proud, and wrong",,"America, all freemen share",,,,a_despot_throng_rich_proud_and_wrong,
"A Deus demos glória, com grande fervor","A Deus Demos Glória","Exultai! Exultai! Vinde todos louvar","English; Portuguese","Joseph Jones; Fanny Jane Crosby","11.11.11.11 with refrain",a_deus_demos_glria_com_grande_fervor,
"A Deus, o Pai e Benfeitor","A Deus, o Pai e Benfeitor",,"English; Portuguese","Thomas Ken; Sarah Poulton Kalley",8.8.8.9,a_deus_o_pai_e_benfeitor,
"A Dieu l'Auteur de la vie (We would honour God above)",,,,,,a_dieu_lauteur_de_la_vie_trois_personnes,
"A dioe da cui discendono",,,,,,a_dioe_da_cui_discendono,
"A Dios, al Padre celestial",,,,,,a_dios_al_padre_celestial,
"A Dios bondoso debi el nacer",,"Buenos seamos, que Dios es fiel",,"F. Martinez de la Rosa",,a_dios_bondoso_debi_el_nacer,
"A Dios dad gracias, dad honor",,,,"Nicolaus Decius",,a_dios_dad_gracias_dad_honor,
"A Dios obedecen el rayo y el viento",,,,,,a_dios_obedecen_el_rayo_y_el_viento,
"A Dios piadoso debi el nacer",,,,,,a_dios_piadoso_debi_el_nacer,
"A dismal spectre, dark and tall",,,,"Johnson Oatman",,a_dismal_spectre_dark_and_tall,
"A door was once opened to sinners lost","The door was shut","With sadness poor sinners will turn away",,"William Thomas Dale",,a_door_was_once_opened_to_sinners_lost,
"A doubly pious way consists","Heaven's gates will open wide","Kind words and deeds can never die",,,,a_doubly_pious_way_consists,
"A-down earth's dark abyss of woe",,"O, weary burdened hearts rejoice",,,,adown_earths_dark_abyss_of_woe,
"A dread and solemn hour",,,,,,a_dread_and_solemn_hour,
"A dread hath come on me","A dread hath come on me",,"German; English","Catherine Winkworth; S. Dach",,a_dread_hath_come_on_me,
"A dreadful foe is in our land","Drive him out","O drive him out",,"Harriet E. Jones",,a_dreadful_foe_is_in_our_land,
"A dreadful sound rings in my ears",,"For whosoever will save his life",,"Russell Kelso Carter",,a_dreadful_sound_rings_in_my_ears,
"A dream sublime of a sunny clime","Isle of the blest","My happy home, my spirit home",,"H. Clay Preuss",,a_dream_sublime_of_a_sunny_clime,
"A dream to me came",,,,,,a_dream_to_me_came,
"A dreary place would be this earth","The little people",,,"John Greenleaf Whittier",,a_dreary_place_would_be_this_earth,
"A drunkard on his dying bed",,,,"John G. Green",,a_drunkard_on_his_dying_bed,
"A drunkard reaches his cheerless home","Renounce the cup",,,,,a_drunkard_reaches_his_cheerless_home,
"A drunkard was sleeping","The sleeping drunkard",,,,,a_drunkard_was_sleeping,
"A drunken man sat on the curb-stone","Helped by a kind hand",,,"Elisha A. Hoffman",,a_drunken_man_sat_on_the_curbstone,
"A fair little girl",,,,"Richard M. Milnes",,a_fair_little_girl,
"A fair white tulip raised its head",,"Beautiful, beautiful Easter day",,"Eliza E. Hewitt",,a_fair_white_tulip_raised_its_head,
"A faithful crossbearer is now gone to rest",,,,,,a_faithful_crossbearer_is_now_gone_to_re,
"A faithful leader, Moses","Moses led his people","Old pharaoh",,"A. H. Elliott",,a_faithful_leader_moses,
"A faithful saint I have stood by",,,,,,a_faithful_saint_i_have_stood_by,
"A faithful worker ever be","Be a worker","O haste away",,"K. Adams",,a_faithful_worker_ever_be,
"A fajdalmak eles nyilai Leverek az en eromet",,,,,,a_fajdalmak_eles_nyilai_leverek_az_en_er,
"[A Family Sleeps a Deep, Contented Sleep]","A Family Sleeps a Deep, Contented Sleep",,,"Michael Hudson",10.10.10.10,a_family_sleeps_a_deep_contented_sleep,"<i>Songs For the Cycle</i> (Church Publishing, 2004)"
"A farmer came his grief to show","The mountain shall remove","Jesus says to all",,"James Callaway Midyett",,a_farmer_came_his_grief_to_show,
"A farmer went out to plant the seed","The Sower","God's Word is the good seed",English,"Kathleen Hart Brumm",,a_farmer_went_out_to_plant_the_seed,
"A farmer's life is the life for me",,"O, a farmer's life",,,,a_farmers_life_is_the_life_for_me,
"A farmer's life the life for me",,,,,,a_farmers_life_the_life_for_me,
"A father and his little son","Let Jesus share your load","Call upon the Savior",,"H. Dudley Farnham",,a_father_and_his_little_son,
"A father came to Jesus","A Father Came to Jesus",,English,"Mary Nelson Keithahn",,a_father_came_to_jesus,
"A father is praying  The Savior to hear","Only asleep",,,,,a_father_is_praying_the_savior_to_hear,
"A fearless, self-devoted band",,,,,,a_fearless_selfdevoted_band,
"A feast is preparing, the King will preside","The feast and the robes","Throw off the old garments of sin",,"Harriet E. Jones",,a_feast_is_preparing_the_king_will_presi,
"A feast of love together",,,,"Fanny J. Crosby",,a_feast_of_love_together,
"A feeling within you","Choose ye","Way down",,"J. B. Coats",,a_feeling_within_you,
"A female, much distrest [distressed]",,,,,,a_female_much_distrest_distressed,
"A few brief years to bravely do","A few brief years forevermore","O blissful hope",,"Jessie Brown Pounds",,a_few_brief_years_to_bravely_do,
"A few days more of waiting",,"Pain and sorrow",,"S. P. Creasinger",,a_few_days_more_of_waiting,
"A few from every land",,,,,,a_few_from_every_land,
"A few little seeds by the wayside",,"Scatter the seed",,"Ada Blenkhorn",,a_few_little_seeds_by_the_wayside,
"A few more days, a few more tears","I'm going home",,,"Johnson Oatman",,a_few_more_days_a_few_more_tears,
"A few more days, and then night",,,,"Jeremiah Eames Rankin",,a_few_more_days_and_then_night,
"A few more days for you and me",,"When you and I get home",,"Johnson Oatman",,a_few_more_days_for_you_and_me,
"A few more days my weary heart","Land of rest","In that beautiful land of rest",,"Frederic R. Marvin",,a_few_more_days_my_weary_heart,
"A few more days of grief and woe","Free grace and dying love","And give to Jesus glory",,"James Fraser",,a_few_more_days_of_grief_and_woe,
"A few more days of pain and wo",,,,,,a_few_more_days_of_pain_and_woe,
"A few more days of sorrow",,"A few days only",,"Elisha A. Hoffman",,a_few_more_days_of_sorrow,
"A few more days of toil below",,"I shall never forget the day",,"John B. Vaughan",,a_few_more_days_of_toil_below,
"A few more days on earth to roam","Eternity at last",,,"Johnson Oatman",,a_few_more_days_on_earth_to_roam,
"A few more days on earth to spend","A few more days on earth to spend",,English,,8.8.8.6.8.8.8.6,a_few_more_days_on_earth_to_spend,
"A few more days on earth to stay",,"I want my friends to pray for me",,"Ardon A. Hollis",,a_few_more_days_on_earth_to_stay,
"A few more days on earth to wander",,"O, I long to be with Jesus",,"H. E. McAfee",,a_few_more_days_on_earth_to_wander,
"A few more days or fleeting years","We are passing away",,,"Charles Walker Ray",,a_few_more_days_or_fleeting_years,
"A few more days or years at most,",,,,,,a_few_more_days_or_years_at_most,
"A few more days preserve me here",,,,,,a_few_more_days_preserve_me_here,
"A few more days to brave the blast,","Beautiful world of light","Soon we shall roam the morning fields",,"A. T. Goham",,a_few_more_days_to_brave_the_blast,
"A few more days to labor",,,,,,a_few_more_days_to_labor,
"A few more days to labor here,  With care and",,"In that blest home, that home, sweet home",,,,a_few_more_days_to_labor_here_with_care_,
"A few more fleeting years at most",,,,,,a_few_more_fleeting_years_at_most,
"A few more marchings weary","A few more marchings weary","O'er time's rapid river",,"Fanny J. Crosby",,a_few_more_marchings_weary,
"A few more prayers, a few more tears",,,,"Annie S. Hawks",,a_few_more_prayers_a_few_more_tears,
"A few more steps upon the road",,"We're going home",,"Johnson Oatman",,a_few_more_steps_upon_the_road,
"A few more struggles here",,,,"Horatius Bonar",,a_few_more_struggles_here,
"A few more suns shall set",,,,,,a_few_more_suns_shall_set,
"A few more sweet communings here",,"Yes, we'll meet again",,,,a_few_more_sweet_communings_here,
"A few more tears of grief may fall",,"Some blessed day we will rejoice",,"Johnson Oatman",,a_few_more_tears_of_grief_may_fall,
"A few more years, a few more tears","Happy home","Then all will be glory",,"John B. Vaughan",,a_few_more_years_a_few_more_tears,
"A few more years at most",,,,,,a_few_more_years_at_most,
"A few more years may pass away  A few more","When Jesus comes","There'll come a day, a happy day",,"R. B. Taylor",,a_few_more_years_may_pass_away_a_few_mor,
"A few more years of toil and care",,"Trusting in the Lord when the way",,"J. L. Pattison",,a_few_more_years_of_toil_and_care,
"A few more years of toil and pain",,"Gathered home",,"A. Bunyan Little",,a_few_more_years_of_toil_and_pain,
"A few more years shall roll","A Few More Years Shall Roll","O wash me in thy precious blood",English,"Horatius Bonar","6.6.8.6 D",a_few_more_years_shall_roll,
"A fierce unrest seethes",,,,"D. Marquis",,a_fierce_unrest_seethes,
"A film, impervious to light",,,,"William Allen",,a_film_impervious_to_light,
"A fisher-boy went sailing out","The light from home",,,"Lanta Wilson Smith",,a_fisherboy_went_sailing_out,
"A fisher was out on the lake",,"Steer straight for us",,"Daniel R. Lucas",,a_fisher_was_out_on_the_lake,
"A fishing boat was on",,,,"Dorothy A. Thrupp",,a_fishing_boat_was_on,
"A fitly spoken word  It hath mysterious powers",,,,"George B. Bubier",,a_fitly_spoken_word_it_hath_mysterious_p,
"A flash of light",,,,"Laura E. Newell",,a_flash_of_light,
"A flood of sin is sweeping down","Are you within the ark","The ark of love stands open wide",,"Eden Reeder Latta",,a_flood_of_sin_is_sweeping_down,
"A flower among the heather",,,,,,a_flower_among_the_heather,
"A flower fair has gone from earth","Gone to bloom above","We miss our dear one",,"James Rowe",,a_flower_fair_has_gone_from_earth,
"A foe is abroad, like a tyrant",,"To the rescue, let us hasten",,"Fanny J. Crosby",,a_foe_is_abroad_like_a_tyrant,
"A fond mother, weak and dying",,"Will he come",,"T. Corben",,a_fond_mother_weak_and_dying,
"A foolish little lamb strayed","The stray lamb","Dear children do not leave",,,,a_foolish_little_lamb_strayed,
"A foolish man built","The house on the rock",,,"Lois Lenski",,a_foolish_man_built,
"A for Adam; he was a man",,"The angel has gone down",,,,a_for_adam_he_was_a_man,
"A form at the threshold, a stranger behold","Acquaint thyself with Him",,,"Julia H. Johnston",,a_form_at_the_threshold_a_stranger_behol,
"A form not always dark",,,,"C. F. B. Roge",,a_form_not_always_dark,
"A form of words, though e'er so sound",,,English,"Joseph Hart",,a_form_of_words_though_eer_so_sound,
"A fortnight it was from Whitsuntide",,,,,,a_fortnight_it_was_from_whitsuntide,
"A fortress sure is God our King",,,,,8.7.8.7.6.6.6.6.7,a_fortress_sure_is_god_our_king,
"A fount of cleansing flows so free","Whiter than the Snow","Whiter than the snow, the beautiful snow",,"B. E. W.",8.8.8.8.10.9.10.9,a_fount_of_cleansing_flows_so_free,"Timeless Truths (http://library.timelesstruths.org/music/Whiter_than_the_Snow); Faith Publishing House, <i>Evening Light Songs</i>, 1949, edited 1987 (117); The Gospel Trumpet Company, <i>Select Hymns</i>, 1911 (172)"
"A Fount of mercy, Lord, Thou art","A Fount of mercy, Lord, Thou art",,,,8.6.8.6.8.8,a_fount_of_mercy_lord_thou_art,
"A fount there is that's opened wide","That's why I love Him",,,"Jarron Prescott",,a_fount_there_is_thats_opened_wide,
"A fountain, a clear flowing","O, come to the fountain","Blest Jesus on Calvary's",,"Laura E. Newell",,a_fountain_a_clear_flowing,
"A fountain, blessed Lamb of God!",,,,"J. G. W.",,a_fountain_blessed_lamb_of_god,
"A fountain ever springing",,,,,,a_fountain_ever_springing,
"A fountain, Holy Lamb of God",,,,Cowper,,a_fountain_holy_lamb_of_god,
"A fountain in Jesus, which runs always free",,,,,,a_fountain_in_jesus_which_runs_always_fr,
"A fountain of cleansing is opened for sin",,"All glory to Jesus",,"Orlando S. Grinnell",,a_fountain_of_cleansing_is_opened_for_si,
"A fountain of life and of grace",,,,"Charles Wesley",,a_fountain_of_life_and_of_grace,
"A fountain of life and of grace in Christ our Redeemer we see",,,,,,a_fountian_of_life_and_of_grace,
"A fountain of life is flowing","The flowing fountain","Come, come to the fountain",,"Ada Blenkhorn",,a_fountain_of_life_is_flowing,
"A fountain of life is opened wide","Fountain of life","O that fountain flowing free",,"William A. Ogden",,a_fountain_of_life_is_opened_wide,
"A fountain of love in the Savior",,"O glory to Jesus, my soul is at rest",,"Henry J. Zelley",,a_fountain_of_love_in_the_savior,
"A fountain was opened on Calvary","The fountain is flowing","The fountain is flowing free",,"C. Austin Miles",,a_fountain_was_opened_on_calvary,
"A friend and sister, lo, is dead",,,,,,a_friend_and_sister_lo_is_dead,
"A friend can be short or tall",,"My friend, my friend is good for me",,"Judy O'Sheil",,a_friend_can_be_short_or_tall,
"A friend desires to call","Won't you ask Him in","Won't you be at home when Jesus comes to you",,"Nathan Kirk Griggs",,a_friend_desires_to_call,
"A friend have I who standeth near","Whom, Having Not Seen, I Love","And He is preparing a place for me",English,"Maud Frazer Jackson",,a_friend_have_i_who_standeth_near,
"A friend I have called Jesus, Whose love is strong and true","It's Just Like His Great Love","It&#8217;s just like Jesus to roll the clouds away",,"Edna R. Worrel","13.14.14.14 with refrain",a_friend_i_have_called_jesus_whose_love_,"Timeless Truths (http://library.timelesstruths.org/music/Its_Just_Like_His_Great_Love); The Cyber Hymnal (http://www.hymntime.com/tch/htm/i/t/itsjustl.htm); <i>Hymns for His Praise: Number 2 Revised</i>, 1906 (72)"
"A friend I have found who my needs",,"A never failing friend",,,,a_friend_i_have_found_who_my_needs,
"A friend is not a gnome",,,,,,a_friend_is_not_a_gnome,
"A friend of Jesus I would be",,"I will sing till the earth shall ring",,"William C. Martin",,a_friend_of_jesus_i_would_be,
"A friend of Jesus! Oh, what bliss","Friendship with Jesus","Friendship with Jesus!",,"Joseph C. Ludgate",8.6.8.6.5.5.8.7,a_friend_of_jesus_o_what_bliss,"Timeless Truths (http://library.timelesstruths.org/music/Friendship_with_Jesus)"
"A friend that sticketh closer than a brother",,"My Savior loves me I know He cares",,"Rudy E. Callen",,a_friend_that_sticketh_closer_than_a_bro,
"A friend there is, your voices join",,,,"Joseph Swain",,a_friend_there_is_your_voices_join,
"A friend to sinners, but not",,,,,,a_friend_to_sinners_but_not,
"A friend to snner is Jesus","A friend to man",,,"Rolland J. Daniel",,a_friend_to_snner_is_jesus,
"A friend we loved has passed away",,,,,,a_friend_we_loved_has_passed_away,
"A friend who is tender in love",,"O what a friend",,"Carl J. Nelson",,a_friend_who_is_tender_in_love,
"A friend who's knocking at thy heart's door",,,,"Lida Shivers Leech",,a_friend_whos_knocking_at_thy_hearts_doo,
"A friendless pris'ner at Pilate's bar","He Answered Never a Word",,,Unknown,"11.8.11.8 D",a_friendless_prisoner_at_pilates_bar,"Timeless Truths (http://library.timelesstruths.org/music/He_Answered_Never_a_Word); Faith Publishing House, <i>Echoes from Heaven</i>, 1976 (30); The Gospel Trumpet Company, <i>Select Hymns</i>, 1911 (403)"
"A fruitful land, where streams abound",,,,,,a_fruitful_land_where_streams_abound,
"A full and free salvation the King provides","What He has done for others","For you, yes, for you",,"Thoro Harris",,a_full_and_free_salvation_the_king_provi,
"A full surrender I have made","Here am I, send me","Send me, send me",,"Johnson Oatman",,a_full_surrender_i_have_made,
"A full surrender now I make","Dead to the world",,,"Phebe E. Hunt",,a_full_surrender_now_i_make,
"A fulness resides  in Jesus our head",,,,"John Fawcett",,a_fulness_resides_in_jesus_our_head,
"A garden fenced from common earth",,,,"Joseph Swain",,a_garden_fenced_from_common_earth,
"A garden I know and a grave newly made","In Joseph's garden",,,"J. H. Kuhlmann",,a_garden_i_know_and_a_grave_newly_made,
"A garden shelters with its trees",,,,"Michael Gannon",,a_garden_shelters_with_its_trees,
"A garden so well watererd before morn",,,,,,a_garden_so_well_watererd_before_morn,French
"A gate of love is open to God's bright home above",,,,"C. L. Dorris",,a_gate_of_love_is_open_to_gods_bright_ho,
"[A Gentile Woman Came to Christ to Glean]","A Gentile Woman Came to Christ to Glean",,,"Michael Hudson",10.10.10.10,a_gentile_woman_came_to_christ_to_glean,"<i>Songs For the Cycle</i> (Church Publishing, 2004)"
"A gentle and a holy child",,,,"Cecil F. Alexander",,a_gentle_and_a_holy_child,
"A gentle angel walketh throughout a world of woe",,,,"Karl Johann Philipp Spitta",,a_gentle_angel_walketh_throughout_a_worl,
"A gentle breeze from Eden's land","Better  further on","It is better, it is better",,"Asa Hull",,a_gentle_breeze_from_edens_land,
"A gentle hand unseen by us","Gone to Bloom Above","O gentle one, we miss thee here",,"Daniel S. Warner","8.6.8.6 D",a_gentle_hand_unseen_by_us,"Timeless Truths (http://library.timelesstruths.org/music/Gone_to_Bloom_Above); Faith Publishing House, <i>Echoes from Heaven</i>, 1976 (100); The Gospel Trumpet Company, <i>Select Hymns</i>, 1911 (190)"
"A gentle mother bends","The baby King",,,"Bertha D. Martin",,a_gentle_mother_bends,
"A gentle voice is calling","Just enter the open gate",,,"J. B. Vaughan",,a_gentle_voice_is_calling_vaughan,
"A gentle voice is calling (Hoffman)","'Tis Jesus calls",,,"Elisha A. Hoffman",,a_gentle_voice_is_calling_hoffman,
"A gentle word hath a magic power","Gnetle words",,,,,a_gentle_word_hath_a_magic_power,
"A gentle word hath a wonderful power","A gentle, kind word",,,,,a_gentle_word_hath_a_wonderful_power,
"A gentle word is never lost",,,,,,a_gentle_word_is_never_lost,
"A giant bound with a chain","Sampson bound","O strong man, turn",,"H. S. Taylor",,a_giant_bound_with_a_chain,
"A giddy lamb, one afternoon",,,,,,a_giddy_lamb_one_afternoon,
"A girl stood at her brother's side",,,,"Martin W. Knapp",,a_girl_stood_at_her_brothers_side,
"A glad and happy birthday",,,,,,a_glad_and_happy_birthday,
"A glad, good time is coming",,"Coming, yes 'tis coming",,"Robert Lowe Fletcher",,a_glad_good_time_is_coming,
"A glad invitation is ringing today",,"And yet there is room",,"Haldor Lillenas",,a_glad_invitation_is_ringing_today,
"A glad message rings through the world today","The work must go on","The good work must go on and on",,"Laurene Highfield",,a_glad_message_rings_through_the_world_t,
"A glad new song of peace and love","King of kings","We'll crown Him King of Kings",,"Russell Kelso Carter",,a_glad_new_song_of_peace_and_love,
"A glad new song of praise I sing","My sins are washed away","There's a constant victory in my soul",,"Charles Hutchinson Gabriel",,a_glad_new_song_of_praise_i_sing,
"A glad New Year or a sad",,,,"M. E. Bamford",,a_glad_new_year_or_a_sad,
"A glad New Year to all we bring",,,,"Franklin E. Belden",,a_glad_new_year_to_all_we_bring,
"A glad, sweet assurance",,"And would I give up this",,"M. Louise Smith",,a_glad_sweet_assurance,
"A glad time is coming","When we get inside the gate","O yes, how happy we shall be",,"J. R. Baxter",,a_glad_time_is_coming,
"A gladsome song of praise we sing",,,,"Ambrose N. Blatchford",,a_gladsome_song_of_praise_we_sing,
"A glance from heaven with sweet effect",,,,"John Newton",,a_glance_from_heaven_with_sweet_effect,
"A glance from thine eye","Look on me","In love and compassion",,"E. C. Ellsworth",,a_glance_from_thine_eye,
"A glass of spring water","The temperance pledge",,,,,a_glass_of_spring_water,
"A glimpse of home comes back to me",,,,"J. W. Dennis",,a_glimpse_of_home_comes_back_to_me,
"A glimpse of the sky and of heaven",,,,"C. O. Earl",,a_glimpse_of_the_sky_and_of_heaven,
"A gloomy night of sin again",,,,,,a_gloomy_night_of_sin_again,
"A glorious banner Thou hast given to those who",,"Give Thou Thy help against the foe",,,,a_glorious_banner_thou_hast_given_to_tho,
"A glorious blessing bestowed upon me ","Waves of Devotion","The waves of devotion are flooding my soul,",English,"Barney E. Warren, 1867-1951",,a_glorious_blessing_bestowed_upon_me,
"A glorious day is breaking","Temperance song",,,,,a_glorious_day_is_breaking,
"A glorious day is coming",,"Glorious day, earth with joy",,"I. E. Diekenga",,a_glorious_day_is_coming,
"A glorious day is coming by the prophets long",,"When Jesus reigns over the world",,"William C. Poole",,a_glorious_day_is_coming_by_the_prophets,
"A glorious day is dawning",,,,,,a_glorious_day_is_dawning_and_oer_the_wa,
"A glorious day is dawning",,,English,Unknown,,a_glorious_day_is_dawning,
"A glorious day is dawning, Upon our sinful earth","The temperance cause",,,"N. H. Briggs",,a_glorious_day_is_dawning_upon_our_sinfu,
"A glorious feast is spread today","Come to the feast","The Spirit and the bride say, come",,"S. W. Everett",,a_glorious_feast_is_spread_today,
"A glorious home is over there",,"O glorious home, just over the chilly tide",,"Jennie Wilson",,a_glorious_home_is_over_there,
"A glorious invitation now calls you","The Spirit and Bride say come","The Spirit says come",,"Grant Colfax Tullar",,a_glorious_invitation_now_calls_you,
"A glorious light has burst around us",,"Hurrah, a glorious light has  burst",,"James R. Murray",,a_glorious_light_has_burst_around_us,
"A glorious Lord and King","Victory through faith","Our faith in Him will bring the victory",,"Avis B. Christiansen",,a_glorious_lord_and_king,
"A glorious place, O Lord, with Thee",,,,"Roger M. Hickman",,a_glorious_place_o_lord_with_thee,
"A glorious rest is promised","No night in heaven",,,"E. T. Bowers",,a_glorious_rest_is_promised,
"A glorious Savior is Jesus",,,,"James Rowe",,a_glorious_savior_is_jesus,
"A glorious song is ringing in my heart","The song that never shall die","All glory to God on high",,"Ida Scott Taylor",,a_glorious_song_is_ringing_in_my_heart,
"A glorious state is Deseret",,"Then praise his name",,,,a_glorious_state_is_deseret,
"A glorious time is coming when we all get home",,"We shall see the King some day",,"Frank C. Huston",,a_glorious_time_is_coming_when_we_all_ge,
"A glorious time is coming, When we shall meet on",,,,"A. E. Jones",,a_glorious_time_is_coming_when_we_shall_,
"A glorious triumph is coming someday",,"Caught up with Jesus in glory",,"Eliza E. Hewitt",,a_glorious_triumph_is_coming_someday,
"A glorious voice sounds through the night",,,,"Donald MacLeod",,a_glorious_voice_sounds_through_the_nigh,
"A glorious world on high",,,,,,a_glorious_world_on_high,
"A glory fills the midnight sky","A Glory Fills the Midnight Sky",,English,"Timothy Dudley-Smith","8.6.8.6 D",a_glory_fills_the_midnight_sky,
"A glory in the Word we find",,,,,,a_glory_in_the_word_we_find,
"A glory-lit crown is awaiting","The glory lit crown","O glory lit crown",,"B. Leake",,a_glorylit_crown_is_awaiting,
"A glory lit the wintry sky",,,,"Louis FitzGerald Benson",,a_glory_lit_the_wintry_sky,
"A god, a God, the wide earth shouts",,,,Darwin,,a_god_a_god_the_wide_earth_shouts,
"A God appears of grace and power",,,,,,a_god_appears_of_grace_and_power,
"A golden bud came open","Easter voices",,,"E. Noxon",,a_golden_bud_came_open,
"A golden flood of glory",,"Peace on earth, good will to men",,"R. F. Lehman",,a_golden_flood_of_glory,
