hymnalID,hymnalTitle,editors,publisher,publicationPlace,publicationDate,denominations,tags
GDEG1886,"Gebet- und Danklieder fuer Erweckungs- und Gebetsversammlungen","William Horn; Verlagshaus der Evangelischen Gemeinschaft","Verlagshaus der Evangelischen Gemeinschaft","Cleveland, Oh.",1886,"Evangelical Association",
GDN21894,"Gebet- und Danklieder, Nr. 2, fuer Erweckungs- und Gebetsversammlung","William Horn; Thomas & Mattill","Thomas & Mattill","Cleveland, Oh.",1894,"Evangelical Association",
GAHU1852,"Geistliche Andachten in hundert und zwanzig Liedern: nach der ersten durch Johann Georg Ebeling besorgten Ausgabe mit Anmerkungen, einer geschichtlichen Einleitung und Urkunden","Gerhardt, Paul,  1607-1676","Verlag der Nicolaischen Buchhandlung",Berlin,1852,,"No Hymns"
GVOE1855,"Geistliche viole: oder eine kleine Sammlung Geistreicher Lieder zum Gebrauch der Evangelischen Gemeinschaft und heilsuchender Seelen uberhaupt.","Evangelical Association of North America","Carl Hammer","Cleveland, Oh.",1855,"Evangelical Church","No Hymns"
GJ1890,"Gems and Jewels","J. H. Fillmore; J. H. Rosecrans; Fillmore Bros.","Fillmore Bros.",Cincinnati,1890,,"Has Music"
GCD11889,"Gems for Children's Day No.1 and No.2","J. N. Welliver; J. H. Mosher",,"Lock Haven, Penn.",1889,,
GCD31889,"Gems for Children's Day No.3","J. N. Welliver; F. B. Clegg","F. B. Clegg","Lock Haven, Penn.",1889,,
G4L11879,"Gems for the Little Ones","C. R. Blackall; B. Griffith","B. Griffith","Philadelphia, Penn.",1879,,
G4PM1864,"Gems for the Prayer Meeting","American Tract Society","American Tract Society","New York, N.Y.",1864,,
G4SS1902,"Gems for the Sunday Schools","B. B. Beall; B. B. Beal &  Co.","B. B. Beal &  Co.","Douglasville, Ga.",1902,,
GASS1906,"Gems from Augsburg Songs for Sunday Schools and other Services","Lutheran Publication Society","Lutheran Publication Society","Philadelphia, Penn.",1906,"Lutheran hymnals (general)",
GoCS1908,"Gems of Christian Song","Edith M. Lamb; Lord Baltimore Press","Lord Baltimore Press","Baltimore, Md.",1908,,
GCSC1910,"Gems of Christmas song: a collection of old Christmas carols and hymns for use year after year in the home and at Christmas festivals","Lamb, Edith M.","American Sunday-School Union",Philadelphia,1910,,"No Hymns"
GoG1888,"Gems of Gladness","J. H. Ruebush; Ruebush Kieffer","Ruebush Kieffer","Dayton, Va.",1888,,
GGSS1888,"Gems of Gladness for Sabbath School and Praise Meetings","J. H. Ruebush; Ruebush Kieffer","Ruebush Kieffer","Dayton, Va.",1888,,
GoGS1885,"Gems of Gospel Songs","Grace Weiser Davis; John J. Hood","John J. Hood",Philadelphia,1885,,
GoGG1941,"Gems of Grace and Glory","E. Boone; Myers Price; Boone Pub. Co.","Boone Pub. Co.","Des Moines, Ia.",1941,,
GoL1924,"Gems of Love","Edward C. Deas; Edward C. Deas","Edward C. Deas","Chicago, Ill.",1924,,
GoM1872,"Gems of Music","T. H. Caldwell; S. C. Collins","S. C. Collins","Philadelphia, Penn.",1872,,
GoP1914a,"Gems of Praise","C. H. Gabriel; Hope Pub. Co.","Hope Pub. Co.","Chicago, Ill.",1914,,
GPJS1904,"Gems of Praise and Joyful Songs Combined","J. R. Sweney; W. G. Fisher; Methodist Episcopal Book Room","Methodist Episcopal Book Room","Philadelphia, Penn.",1904,"Methodist Episcopal Church (North)",
GPCC1876,"Gems of Praise (Choice Collection of Sacred Melodies)","J. R. Sweney; Methodist Episcopal Book Room","Methodist Episcopal Book Room","Philadelphia, Penn.",1876,"Methodist Episcopal Church (North)",
GPSS1873,"Gems of Praise for Sabbath Schools","D. H. Baldwin & Co.","D. H. Baldwin & Co.","Cincinnati, Oh.",1873,,
GoSS1899,"Gems of Sacred Song","J. H. Alleman; Northwestern Music Co.","Northwestern Music Co.","Chicago, Ill.",1899,,
GSSS1875,"Gems of Sacred Song for Sunday  Schools","H. J. Grasett; James Campbell & Son","James Campbell & Son","Toronto, Ont.",1875,"Church of England in Canada",
GoS1865,"Gems of Song","D. M. Bowmar; R. W. Carroll & Co.","R. W. Carroll & Co.","Cincinnati, Oh.",1865,,
GSSS1901,"Gems of Song: for the Sunday School","Ira D. Sankey; Hubert P. Main; Biglow & Main Co.","Biglow & Main Co.",Chicago,1901,,"Has Music"
GAH1933,"Gene Arnold Hymns","G. Arnold; Foster Music Publishers","Foster Music Publishers","Chicago, Ill.",1933,,
GBHB1859,"General Baptist Hymn Book","G. P. Cavanah","The Author","Evansville, Ind.",1859,"Baptist hymnals (general)",
GCHO1826,"General Collection of Hymns, Original and Selected, for Use of Christians","Hobert Foster; Christian Herald","Christian Herald","Portsmouth, N.H.",1826,"Christian Church, General Convention",
GGSS1911,"Genuine Gems of Sacred Song","B. F. Campbell",,"Weatherly, Penn.",1911,,
GSSS1948,"German Sunday School Songs ... for the Beachy Amish of Lancaster County, PA.","Samuel Glick",Glick,"Smoketown, Penn.",1948,"Old Order Amish Mennonite Church",
GSSS1956,"German Sunday School Songs ... for the Beachy Amish of Lancaster County, PA.","Samuel Glick; Artway Printing Co.","Artway Printing Co.","Lancaster, Penn.",1956,"Old Order Amish Mennonite Church",
GMBM1888,"Gesang und Melodienbuch: der Bischoeflichen Methodisten-kirche","Curts & Jennings; Eaton & Mains","Curts & Jennings / Eaton & Mains","New York, N.Y.",1888,"Methodist Episcopal Church (North)",
GGBN1882,"Gesangbuch der Evangelischen Brüdergemeinen in Nord Amerika (Neue vermehrte Aufl.)","Buchhandlung der Bruedergemeine","Moravian Publication Office","Bethlehem, Penn.",1891,"Moravian Church",
GEGG1877,"Gesangbuch der Evangelischen Gemeinschaft fuer oeffentlichen und haeuslicheGottesdienst","Verlagshaus der Ev. Gemein.","Verlagshaus der Ev. Gemein.","Cleveland, Oh.",1877,"Evangelical Association",
GEKG1909,"Gesangbuch der Evangelischen Kirche: herausgegeben von der Deutschen Evangelischen Synode von Nord-Amerika","Eden Publishing House","Eden Publishing House","St. Louis, Mo.",1908,"Evangelical Synod of North America",
GLSM1903,"Gesangbuch der evangelisch-Lutherischen St. Markus Kirche",,,"San Francisco, Calif.",1903,"Lutheran hymnals (general)",
GSLE1918,"Gesangbuch: eine Sammlung geistlicher Lieder zur allgemeinen Erbauung",,,"Scottdale, Penn.",1918,"Old Colony (Russian) Mennonite Church",
GDS1864,"Gesangbuch fuer Deutsche Sonntagsschulen","Philipp Schaff; J. Kohler","J. Kohler","Philadelphia, Penn.",1864,,
GEGN1870,"Gesangbuch fuer die Evangelisch-protestantischen Gemeinden von Nord-Amerika","Theodor Richter","Theodor Richter","Cincinnati, Oh.",1870,"Evangelical Protestant Church of North America (Ge",
GSSE1853,"Gesangbuch fuer die Sonntags-Schulen der Evangelisch-Lutherischen und Deutsch-Reformirten Kirchen in den Vereinigten Staaten","S. R. Brobsdt & Co.","S. R. Brobsdt & Co.","Allentown, Penn.",1853,"Lutheran hymnals (general)",
GGEL1886,"Gesangbuch für Gemeinden des Evangelisch-Lutherischen Bekenntnisses (14th ed.)","Ev.-Luth. Synode von Ohio & anderen staaten; Lutherische Verlagshandlung","Lutherische Verlagshandlung","Columbus, Oh.",1886,"Evangelical Lutheran Synod of Ohio and Adjacent States",
GMGK1901,"Gesangbuch in Mennoniten-Gemeinden in Kirche und Haus.",,"Im Selbst-Verlage der Mennoniten-Gemeinden Westpreussens",[S.l.],1901,,"No Hymns"
GSL1880,"Gesangbuch in welchem ein Sammlung geistreicher Lieder befindlich",,,"Elkhart, Ind.",1880,"Old Colony (Russian) Mennonite Church",
GNKG1913,"Gesangbuch mit Noten fuer die evangelischen Kongregational-Gemeinden von N. Amerika. 3. verb. und verm. Aufl. Erste Aufl. mit  Noten","General Conference of German Evangelical Congregational Chur; German Pilgrim Press","German Pilgrim Press","Chicago, Ill.",1913,"German Evangelical Congregational Churches in Nort",
GNAC1890,"Gesangbuch mit Noten: herausgegeben von der Allgemeinen Conferenz der Mennoniten von Nord-Amerika","Christliche Central-Buchhandlung","Christliche Central-Buchhandlung","Berne, Ind.",1890,"General Conference of the Mennonite Church of North America","Has Music"
GGEB1878,"Gesangbuch zum Gebrauch der Evangelischen Bruedergemeinen","Buchhandlung der Bruedergemeinen","Buchhandlung der Bruedergemeinen","Bethlehem, Penn.",1878,"Moravian Church",
GGHG1873,"Gesangbuch zum Gottesdienstlichen und Haeuslichen Gebrauch in Mennoniten Gemeinden. 1. Aufl.","Jas. B. Rodgers Co.","Jas. B. Rodgers Co.","Philadelphia, Penn.",1873,"Mennonite hymnals (general)",
GER1902,"Gesangbuechlein fuer Ev.-lutherische Reiseprediger","Concordia Publishing House","Concordia Publishing House","St. Louis, Mo.",1902,"Lutheran Church--Missouri Synod",
GIRG1867,"Gesänge für Israelit. Refrom Gemeinden: aus verschiedenen Liedersammlungen zusammengetragen (Neue vermehrte  Aufl.)","Stein & Jones; Keneseth Israel Gemeinde in Philadelphia","Stein & Jones",Philadelphia,1867,"Jewish hymnals",
GSSM1866,"Gesänge für Sonntag-Schulen: mit ausgewählten Melodieen und Liedern","C. J. Heppe; Amerikanischen Traktat-Gesellschaft","Amerikanischen Traktat-Gesellschaft","New York",1866,"Evangelical and Reformed Church","Has Music"
GKK1878,"Gesanguechlein fuer Katholische Kinder","J. Singenberger; Verlag von Friedrich Pustet","Verlag von Friedrich Pustet","New York, N.Y.",1878,"Roman Catholic Church",
GFGD1888,"Gesesangbuch fur Gemeinden des evangelisch-Lutherischen Bekenntnisses",,"Columbus:  Lutherischen Verlagshandlung",,1888,"Lutheran Church, Hymns","No Hymns"
GOL2000,"Gifts of Love: new hymns for today's worship","Carolyn Winfrey Gillette","Geneva Press","Louisville, KY",2000,,"Has Music"
GTSR1913,"Give Thanks and Sing, for Religious Meetings","James N. Clemmer; Theodore Presser Co.","Theodore Presser Co.","Philadelphia, Penn.",1913,,
GTSR1914,"Give Thanks and Sing; for Religious Meetings","James N. Clemmer; Theodore Presser Co.","Theodore Presser Co.","Philadelphia, Penn.",1914,,
GTSU1909,"Give Thanks and Sing: for use in all religious meetings","James N. Clemmer; State Gazette Pub. Co.","State Gazette Pub. Co.","Trenton, N.J.",1909,,"Has Music"
GH1887,"Glad Hallelujahs","John R. Sweney; W. J. Kirkpatrick; Thomas T. Tasker, Sr.","Thomas T. Tasker, Sr.","Philadelphia, Penn.",1887,,
GH1906,"Glad Hosannas","Trio Music Co.","Trio Music Co.","Waco, Tex.",1906,,
GN1905,"Glad News","A. J. Showalter; J. M. Hagan; A. J. Showalter Co.","A. J. Showalter Co.","Dalton, Ga.",1905,,
GN21918,"Glad News No.2","G. W. Bacon; Teachers' Music Publishing Co.","Teachers' Music Publishing Co.","Hudson, N.C.",1918,,
GP1932,"Glad Praise","Haldor Lillenas; Nazarene Publishing House","Nazarene Publishing House","Kansas City, Mo.",1932,"Church of the Nazarene. Nazarenes",
GT1899,"Glad Tidings","W. L. Mason; Goodenough & Woglom Co.","Goodenough & Woglom Co.","New York, N.Y.",1899,,
GT1935,"Glad Tidings","Robert H. Coleman; Robert H. Coleman","Robert H. Coleman","Dallas, Tex.",1935,,
GT1869,"Glad Tidings: a collection of new hymns and music, designed for sabbath schools, anniversary meetings, home circles, &c.","L. O. Emerson; L. B. Starkweather; Oliver Ditson & Co.","Oliver Ditson & Co.",Boston,1869,,"Has Music"
GTSS1899,"Glad Tidings for Sunday Schools, Revival Meetings","J. H. Rosecrans; Fillmore Bros.","Fillmore Bros.","New York, N.Y.",1899,,
GTS1920,"Glad Tidings in Song","W. E. Biederwolf; J. S. Hamilton; Glad Tidings Pub. Co.","Glad Tidings Pub. Co.","Chicago, Ill.",1920,,
GTS1921,"Glad Tidings in Song","W. E. Biederwolf; Bob Jones; Glad Tidings Pub. Co.; E. C. Miller; H. W. Stough; John S. Hamilton","Glad Tidings Pub. Co.",Chicago,1921,,"Has Music"
GTNH1867,"Glad Tidings: New Hymns and Tunes for Sunday Schools","R. M. McIntosh; T. Newton Kurtz","T. Newton Kurtz","Baltimore, Md.",1867,,
GLSL1890,"Glaubens-Lieder: eine Sammlung geistreicher Lieder zur oeffentlichen und haeuslichen Erbauung und zum Lobe Gottes","Mennonite Pub. Co.","Mennonite Pub. Co.","Elkhart, Ind.",1890,"Conference of the Evangelical Mennonite Church. De",
GoP1905,"Gleanings of Praise","Ruebush Kieffer","Ruebush Kieffer","Dayton, Va.",1905,,
GP11996,"Global Praise 1","Carlton Young; S T Kimbrough","GBG Musik, General Board of Global Ministries","New York",1996,,
GP1997,"Global Praise 1: Program and Resource Book","S T Kimbrough; Carlton Young","GBG Musik, General Board of Global Ministries",,1997,,
GP22000,"Global Praise 2: Songs for Worship and Witness","Carlton Young; S T Kimbrough","GBG Musik, General Board of Global Ministries","New York",2000,,
GB32004,"Global Praise 3: More Songs for Worship and Witness","Carlton Young; S T Kimbrough","GBG Musik, General Board of Global Ministries","New York",2004,,
GS21997,"Global Songs 2: Songs of Faith, Hope, and Liberatiion","Lani Willis; Frank Stoldt","Augsburg Fortress",Minneapolis,1997,,
GSFW2010,"Global Songs for Worship","Greg Scheer","Calvin Institute of Christian Worship and Faith Alive Christian Resources","Grand Rapids",2010,"Christian Reformed Church",Global
GSLV1995,"Global Songs-Local Voices: Songs of Faith and Liberation from Around the World","Bert Hesla; Mary Preus; Tom Witt","Bread for the Journey",Minneapolis,1995,,
GLSJ1896,"Glockenklaenge: eine Liedersammlung fuer Sonntagschulen und Jugendvereine","H. C. Nott; Deutsches Verlagshaus der Reformierten Kir","Deutsches Verlagshaus der Reformierten Kir","Cleveland, Oh.",1896,"(German) Reformed Church in the US",
G1916,"Gloria: a hymnal for use in Sunday schools, young people's societies, and devotional meetings","Benjamin Shepard; A. S. Barnes & Co.","A. S. Barnes & Co.","New York",1916,,"Has Music"
GD1901,"Gloria Deo: a Collection of Hymns and Tunes for Public Worship in all Departments of the Church","S. M. Bixby; Funk & Wagnalls Company","Funk & Wagnalls Company","New York",1901,,"Has Music"
GE1914,"Gloria in Excelsis","C. Simper; Hall Mack Co.","Hall Mack Co.","Philadelphia, Penn.",1914,,
GE1933,"Gloria in Excelsis","Hall Mack Co.","Hall Mack Co.","Philadelphia, Penn.",1933,,
GE1905,"Gloria in Excelsis","W. M. Hackleman; Hackleman Music Co.","Hackleman Music Co.","Indianapolis, Ind.",1905,,
GE1905a,"Gloria in Excelsis","20th century Hymnal Committee; Christian Board of Publication","Christian Board of Publication","St. Louis, Mo.",1905,"Disciples of Christ. Christian Churches. Campbelli",
GEDE1914,"Gloria in Excelsis Deo! Eine Weihnachtsliturgie fuer die Sonntagschule","H. Brodt",,"New York, N.Y. ; Chicago, Ill.",1914,,
GF1951,"Glorious Freedom : Gospel Songs and Hymns for Congregational Singing","R. W. Stringfield","Lillenas Publishing Co.","Kansas City, MO",1951,,
GGH1931,"Glorious Gospel Hymns","Haldor Lillenas; Nazarene Publishing House","Nazarene Publishing House","Kansas City, Mo.",1931,"Church of the Nazarene. Nazarenes",
GITN1915,"Glorious Is Thy Name","C. H. Lowden; Heidelberg Press","Heidelberg Press","Philadelphia, Penn.",1915,,
GL31909,"Glorious Light No. 3","J. J. Hulsey; R. J. Hulsey; J. M. Vines; Hulsey Bros.","Hulsey Bros.","Atlanta, Ga.",1909,,
GP1910,"Glorious Praise","Daniel Brink Towner; Fleming H. Revell Co.","Fleming H. Revell Co.","New York, N.Y.",1910,,
GP1904,"Glorious Praise: specially prepared for use in the prayer meeting, the church service, the young people's meetings, the Sunday school, the evangelistic and other religious gatherings","W. H. Doane, Mus. Doc.; W. J. Kirkpatrick; Harvey & Burdett","Harvey & Burdett","Louisville, Ky.",1904,"Baptist hymnals (general)","Has Music"
GTSS1886,"Glorious Things in Sacred Song for use in Sabbath Schools and Gospel Meetings","T. C. O'Kane; T. C. O'Kane","T. C. O'Kane","Delaware, Ohio",1886,,"Has Music"
GT1878,"Glorious Tidings","H. S. Perkins; W. W. Bentley; White, Smith & Co.","White, Smith & Co.","Boston, Mass.",1878,,
GPAC1887,"Glory and Praise: a collection of beautiful Sunday-school songs selected chiefly from The children's hallelujah","J. H. Rosecrans; J. H. Fillmore; Fillmore Bros.","Fillmore Bros.",Cincinnati,1887,,"Has Music"
GB1896,"Glory Bells: a collection of new hymns and new music for Sunday-schools, gospel meetings, revivals, Christian Endeavor societies, Epworth Leagues, etc. ","W. T. Giffe; The Home Music Co.","The Home Music Co.","Logansport, Ind.",1896,,"Has Music"
GBOF1957,"Glory Bound, Our First 1957 Book","John T. Cook; Stamps Quartet Music Co.","Stamps Quartet Music Co.","Dallas, Tex.",1957,,
GG1923,"Glory Gleams","R. H. Cornelius; R. H. Cornelius","R. H. Cornelius","Ft. Worth, Tex.",1923,,
GS1922,"Glory Songs","Emmett S. Dean; James W. Gaines; Trio Music Co.","Trio Music Co.","Waco, Tex.",1922,,
GS1916,"Glory Songs","John T. Benson; John T. Benson; Pentecostal Mission Pub. Co.","Pentecostal Mission Pub. Co.","Nashville, Tenn.",1916,,
GS1911,"Glory Songs","J. B. Herbert; W. E. M. Hackleman; Christian Board of Publication","Christian Board of Publication","St. Louis, Mo.",1911,"Disciples of Christ. Christian Churches. Campbelli",
GW1948,"Glory Waves","J. R. Baxter; Stamps Baxter Music and Printing Co.","Stamps Baxter Music and Printing Co.","Dallas, Tex.",1948,,
GYT21910,"Go Ye Therefore  No. 2","Gospel Winchester Co.","Gospel Winchester Co.","Tullahoma, Tenn.",1910,,
GYT31910,"Go Ye Therefore No. 3","Gospel Winchester Co.","Gospel Winchester Co.","Tullahoma, Tenn.",1910,,
GB1890,"God's Blessings","J. W. Burgess; A. M. Hall","A. M. Hall","Dansville, N.Y.",1890,,
GSC1958,"God's Singing Children","E. J. Lorenz; R. Hadler; Lorenz & Co.","Lorenz & Co.","Dayton, Oh.",1958,,
GWW1954,"God's Wonderful World","A. L. Mason; P. B. Chanian; Random House","Random House","New York, N.Y.",1954,,
GB1923,"Golden Bells","Homer A. Rodeheaver; Chas. H. Gabriel","The Rodeheaver Company","Chicago, Ill.",1923,,
GC1864,"Golden Censer","W. B. Bradbury; Ivison, Phinney, Blakeman & Co.","Ivison, Phinney, Blakeman & Co.","New York, N.Y.",1864,,
GGSS1948,"Golden Gates for Singing Schools and Conventions","A. E. Brumley; Gaines, Branscum & Cooper; Hartford Music & Printing Co., Inc.","Hartford Music & Printing Co., Inc.","Hartford, Ark.",1948,,
GG1907,"Golden Grain","D. W. Crist; D. W. Crist","D. W. Crist","Moultrie, Oh.",1907,,
GGN11896,"Golden Grain: No. 1: for Sabbath schools, gospel meetings, etc.","Alfred Beirly; Alfred Beirly","Alfred Beirly",Chicago,1894,,"Has Music"
GHHR1866,"Golden harp: hymns, rhymes, and songs for the young","Dulcken, Henry William","Roberts Brothers",Boston,1866,,"No Hymns"
GL1880,"Golden Leaves: a collection of choice hymns and tunes adapted to Sabbath-schools, social meetings, Bible classes, &c.","Benj. F. Nysewander; United Brethren Publishing House","United Brethren Publishing House","Dayton, Oh.",1880,"United Brethren in Christ","Has Music"
GN1953,"Golden Notes","Vesphew Benton Ellis; Tennessee Music & Printing Co.","Tennessee Music & Printing Co.","Cleveland, Tenn.",1953,,
GR1957,"Golden Rainbow","R. S. Arnold; National Music Co.","National Music Co.","Jefferson, Tex.",1957,,
GSCC1902,"Golden sheaf: a collection of choice hymns and songs especially designed for Sunday schools, Loyal Worker's meeting, prayer and social services",,"Boston: Advent Christian Publication Society",,1902,"Advent Christian Church--Hymns","No Hymns"
GS11900,"Golden Sheaves No. 1","R. H. Meredith; O. S. Grinnell; R. H. Meredith & Co.","R. H. Meredith & Co.","Chicago, Ill.",1900,,
BGSS1862,"Golden Shower of S.S. Melodies: a new collection of hymns and tunes for the Sabbath schol","WM. B. Bradbury; Ivison, Phinney & Co.","Ivison, Phinney & Co.","New York",1862,,"Has Music"
GS1884,"Golden Songs","Isaiah Baltzell; W. J. Shuey","W. J. Shuey","Dayton, Oh.",1884,"United Brethren in Christ",
GSSS1874,"Golden Songs: for the Sabbath School, Sanctuary and Social Worship","Rev. I. Baltzell; United Brethren Printing Establishment","United Brethren Printing Establishment","Dayton, Oh.",1874,"United Brethren in Christ","Has Music"
GSSS1873,"Golden Songs for the Sanctuary, Sabbath School and for Social Worship","I. Baltzell; E. S. German","E. S. German","Harrisburg, Penn.",1873,,
GG1880,"Good as Gold: A New Collection of Sunday School Songs","R. Lowry; W. H. Doane; Biglow & Main","Biglow & Main, successors to WM. B. Bradbury","New York; Chicago",1880,,"Has Music"
GNH1912,"Good News Hymns","Benjamin  Franklin Butts; Good News Press","Good News Press","Bradford, Penn. ; New York, N.Y.",1912,,
GNH1914,"Good News Hymns","Benjamin  Franklin Butts; Biglow & Main Co.","Biglow & Main Co.","Chicago, Ill. ; New York, N.Y.",1914,,
GNSR1891,"Good News in Song. Rev. ed.","Joshua Gill; G. A. McLaughlin; McDonald & Gill Co.","McDonald & Gill Co.","Boston, Mass.",1891,,
GN1876,"Good News : or songs and tunes for Sunday schools, Christian associations, and special meetings","R. M. McIntosh; Oliver Ditson & Company","Oliver Ditson & Company",Boston,1876,,"Has Music"
GNON1953,"Good News, Our New 1953 Convention Gospel Song Book","Winston Oliver Cooper","Hartford Music Co.","Hartford, Ark.",1953,,
GW1878,"Good Will : A Collection of New Music for Sabbath Schools and Gospel Meetings","T. Martin Towne; J. M. Stillman; Fleming H. Revell Co.","Fleming H. Revell ",Chicago,1878,,"Has Music"
GWEE1882,"Good Will: A collection of New Music for Sabbath Schools and Gospel Meetings (Enlarged)","T. Martin Towne; J. M. Stillman; S. W. Straub & Co.","S. W. Straub","Chicago, Ill.",1882,,"Has Music"
GWSC1890,"Good Will Songs: a Compilation of Hymns and Tunes","Stanford Mitchell; Universalist Publishing House","Universalist Publishing House","Boston, Mass.",1890,"Universalist Church of America",
GPSS1875,"Goodly Pearls for the Sunday School","J. R. Sweney; J. J. Hood; John J. Hood","John J. Hood","Philadelphia, Penn.",1875,,
GB1955,"Gospel Banner","J. R. Baxter; Stamps Baxter Music and Printing Co.","Stamps Baxter Music and Printing Co.","Dallas, Tex.",1955,,
GB1883,"Gospel Bells","Henry A. Sumner & Co.","Henry A. Sumner & Co.","Chicago, Ill.",1883,,
GB1884,"Gospel Bells","O. R. Presbrey; Sumner & Co.","Sumner & Co.","Chicago, Ill.",1884,,
GB1922,"Gospel Bells","W. E. Edmiaston; Anvil Pub. Co.","Anvil Pub. Co.","Oklahoma City, Okla.",1922,,
GB1918,"Gospel Bells","E. O. Excell; W. E. M. Hackleman; Christian Board of Publication","Christian Board of Publication","St. Louis, Mo.",1918,"Disciples of Christ. Christian Churches. Campbelli",
GB1880,"Gospel Bells: a collection of new and popular songs for the use of Sabbath schools and gospel meetings","Otis F. Presbrey; Prof. J. W. Bischoff; Rev. J. E. Rankin, D. D.; Western Sunday School Publ. Co.","Western Sunday School Pub. Co.",Chicago,1880,"Reformed, Congregationalist, and Presbyterian","Has Music"
GC1912,"Gospel Call","D. W. Crist; D. W. Crist","D. W. Crist","Moultrie, Oh.",1912,,
GC1905,"Gospel Carols","George J. Meyer; Thoro Harris; Meyer & Bro.","Meyer & Bro.","Chicago, Ill.",1905,,
GC1901,"Gospel Chimes","J. D. Vaughan; Vaughan Music Co.","Vaughan Music Co.","Minorhill, Tenn.",1901,,
GC1888,"Gospel Chimes","I. Baltzell; I. Baltzell","I. Baltzell","Lancaster, Penn.",1888,,
GC1889,"Gospel Chimes","William Beery",,"Huntingdon, Penn.",1889,"Church of the Brethren, Dunkers",
GCC1927,"Gospel Choir Choruses","Rodeheaver Co.","Rodeheaver Co.","Chicago, Ill.",1927,,
GC1936,"Gospel Choruses","B. A. Baur; Tabernacle Pub. Co.","Tabernacle Pub. Co.","Chicago, Ill.",1936,,
GCH1930,"Gospel Crusade Hymns","George Cooke; Gospel Crusaders","Gospel Crusaders","Wilmington, Del.",1930,,
GCH21929,"Gospel Crusade Hymns No. 2","George W. Cooke; Rodeheaver Co.","Rodeheaver Co.","Chicago, Ill. ; Philadelphia, Penn.",1929,,
GE1889,"Gospel Echoes","T. M. Bowdish; T. M. Bowdish","T. M. Bowdish","Brockwayville, PA",1889,,
GESS1877,"Gospel Echoes for the Sunday School","R. G. Staples; Central Book Concern","Central Book Concern","Oskaloosa, Ia.",1877,,
GESC1943,"Gospel Echoes, Songs and Choruses","Alex Burns; Alex Burns","Alex Burns","Philadelphia, Penn.",1943,,
GG1878,"Gospel Gems","W. Warren Bentley; George D. Russell","George D. Russell","Boston, Mass.",1878,,
GGN11914,"Gospel Gems Number 1 : One Hundred Eighty Sacred Selections for Religious Meetings","J. Lincoln Hall; Adam  Geibel; C. Austin Miles; Hall Mack Company","Hall Mack Company","Philadelphia, Pa.",1914,,"Has Music"
GG1883,"Gospel Gleanings","D. W. Crist; D. W. Crist","D. W. Crist","Moultrie, Oh.",1883,,
GHS1899,"Gospel Herald in Song","W. S. Nickle; G. J. Meyer; Meyer & Bro.","Meyer & Bro.","Chicago, Ill.",1899,,
GHP1949,"Gospel Hit Parade","R. S. Arnold; National Music Co.","National Music Co.","Dallas, Tex.",1949,,
GH1913,"Gospel Hosannas","J. D. Vaughan; James D. Vaughan","James D. Vaughan","Lawrenceburg, Tenn.",1913,,
GH1898,"Gospel Hosannas A Choice Collection of Hymns and Tunes for use in Evangelistic, Brotherhood and Mission Meetings, Sunday School, Etc.","John R. Sweney; J. Howard Entwistle; The Union Press; John J. Hood","The Union Press, John J. Hood",Philadelphia,1898,,"Has Music"
GH1911,"Gospel Hosannas: for church and Sabbath school, young people's services and evangelistic meetings","C. B. Strouse; Glad Tidings Pub. Co.; J. B. Herbert; Ralph E. Mitchell","Glad Tidings Pub. Co.","Chicago, Ill.",1911,,"Has Music"
GHSB1936,"Gospel Hour Song Book","G. V. Bateman; E. L. Bateman; Old Fashioned Gospel Hour","Old Fashioned Gospel Hour","Irvington, NJ",1936,,
GHSF1895,"Gospel hymn selections for female voices: for use in young people's societies, female seminaries, etc., etc.","Gabriel, Charles Hutchinson, 1856-1932","Geo. F. Rosche & Co.",Chicago,1895,,"No Hymns"
GHSM1896,"Gospel hymn selections for male voices: for use in colleges, Y.M.C.A.'s, y. p. societies, etc., etc.","Gabriel, Charles Hutchinson, 1856-1932","Geo. F. Rosche & Co.",Chicago,1896,,"No Hymns"
GH1950,"Gospel Hymnal","Baptist General Conference of America; Baptist Conference Press","Baptist Conference Press","Chicago, Ill.",1950,"Baptist General Conference of America",
GH1871,"Gospel Hymns","James H. Brookes; Old School Presbyterian","Old School Presbyterian","St. Louis, Mo.",1871,"Reformed Presbyterian Church in North America (Old",
GHSS1875,"Gospel Hymns and Sacred Songs: as used by them in gospel meetings","P. P. Bliss; Ira D. Sankey; John Church; Biglow & Main Co.","John Church / Biglow & Main Co.","Cincinnati / New York / Chicago",1875,,"Has Music"
GHSC1918,"Gospel Hymns and Songs for the Church, Sunday School and Evangelistic Services","H. A. Rodeheaver; C. H. Gabriel; Rodeheaver Co.","Rodeheaver Co.","Chicago, Ill.",1918,,
GHTB1878,"Gospel Hymns and Tune Book","R. Lowry; W. Howard Doane; American Baptist Publication Society","American Baptist Publication Society","Philadelphia, Penn.",1878,"Baptist General Convention for Foreign Missions (U.S.)",
GH21876,"Gospel Hymns No. 2: as used by them in gospel meetings","P. P. Bliss; Ira D. Sankey; John Church; Biglow & Main Co.","John Church / Biglow & Main Co.","Cincinnati / Chicago / New York",1876,,"Has Music"
GH41881,"Gospel Hymns No. 4","I. D. Sankey; J. McGranahan; G. Stebbins; John Church; Biglow & Main Co.","John Church / Biglow & Main Co.","New York, N.Y.",1881,,
