"A multitude comes from the east and the west","A Multitude Comes from the East and the West","",Magnus Brostrup Landstad,Peter O. Stromme,,,there_many_shall_come_from_the_east_and_,,,,,,
"There's a strife we all must wage","","",Stephen Greenleaf Bulfinch,,,,theres_a_strife_we_all_must_wage,,,,,,
"This is the hour of banquet and of song","","",Horatius Bonar,,,,this_is_the_hour_of_banquet_and_of_song,,,,,,
"Thou art blessed, O Lord, who nourishest me from my youth","Thou art blessed, O Lord, who nourishest me from my youth","",Allen W. Chatfield,Unknown,,,thou_art_blessed_o_lord_who_nourishest_m,,,,,,
"Thou, infinite in love","","",Sarah Elizabeth Miles,,,,thou_infinite_in_love,,,,,,
"Thou, Lord, who rearest the mountains' height","","",John Sterling,,,,thou_lord_who_rearest_the_mountains_heig,,,,,,
"Thou sore-oppress'd","Thou sore-oppress'd","",Catherine Winkworth,Viktor Strauss,,,thou_sore_oppressed_the_sabbath_rest,,,,,,
"Thou Who the night in prayer didst spend","Thou Who the night in prayer didst spend","",Christopher Wordsworth,,,,thou_who_the_night_in_prayer_didst_spend,,,,,,
"Through all this life's eventful road","","",William Gaskell,,,,through_all_this_lifes_eventful_road,,,,,,
"Through good report and evil, Lord","","",Horatius Bonar,,,,through_good_report_and_evil_lord,,,,,,
"Through the love of God our Savior","Through the Love of God Our Savior","",Mary Peters,,,,through_the_love_of_god_our_savior,,,,,,
"Thy way is in the deep, O Lord","","",James Martineau,,,,thy_way_is_in_the_deep_o_lord,,,,,,
"Thy way, not mine, O Lord","Thy Way, Not Mine, O Lord","",Horatius Bonar,,,,thy_way_not_mine_o_lord,,,,,,
"Thy works, not mine, O Christ","Thy Works, Not Mine, O Christ","To whom, save thee,",Horatius Bonar,,,,thy_works_not_mine_o_christ,,,,,,
"'Tis dawn: to God I lift my hand","'Tis dawn: to God I lift my hand","",Allen W. Chatfield,Gregory Nazianzen,,,tis_dawn_to_god_i_lift_my_hand,,,,,,
"'Tis for conquering kings to gain","","",Anonymous,John Chandler,,,tis_for_conquering_kings_to_gain,,,,,,
"To Him who for our sins was slain","","Hallelujah, hallelujah, hallelujah to his name",D. W. Whittle,Arthur T. Russell,,,to_him_who_for_our_sins_was_slain,,,,,,
"To shepherds as they watched by night","To Shepherds as They Watched by Night","",M. Luther,R. Massie,,,to_shepherds_as_they_watched_by_night,,,,,,
"To Thee at evening gray","To Thee at evening gray","",Allen W. Chatfield,Synesius,,,to_thee_at_evening_gray,,,,,,
"To Thee, much loved, be honour paid","To Thee, much loved, be honour paid","",Allen W. Chatfield,Synesius,,,to_thee_much_loved_be_honour_paid,,,,,,
"To thee, O Lord, the God of all","","",Carl Doving,Magnus Brostrup Landstad,,,to_thee_omniscient_lord_of_all,,,,,,
"To thee, the Lord almighty","","",William Gaskell,,,,to_thee_the_lord_almighty,,,,,,
"Unto thy temple, God of love","","",William Gaskell,,,,unto_thy_temple_god_of_love,,,,,,
"Upward where the stars are burning","","",Horatius Bonar,,,,upward_where_the_stars_are_burning,,,,,,
"Wake, wake, I pray thee, shrill-toned lyre!","Wake, wake, I pray thee, shrill-toned lyre!","",Allen W. Chatfield,Synesius,,,wake_wake_i_pray_thee_shrilltoned_lyre,,,,,,
"Was it in vain that Jesus prayed","","",Stephen Greenleaf Bulfinch,,,,was_it_in_vain_that_jesus_prayed,,,,,,
"We are called by one vocation","We Are Called by One Vocation","",Karl Johann Philipp Spitta,R. Massie,,,we_are_called_by_one_vocation,,,,,,
"We are the Lord's, His all sufficient merit","","",C. T. Astley,Karl Johann Philipp Spitta,,,we_are_the_lords_his_all_sufficient_meri,,,,,,
"We bless Thee, Jesus Christ our Lord","We Bless Thee, Jesus Christ Our Lord","",C. Vischer,B. H. Kennedy,,,we_bless_thee_jesus_christ_our_lord,,,,,,
"We limit not the truth of God","","",George Rawson,,,,we_limit_not_the_truth_of_god,,,,,,
"We love the venerable house","","",Ralph Waldo Emerson,,,,we_love_the_venerable_house,,,,,,
"I love to sing of Christ my King","There Is No Name So Sweet on Earth","",George W. Bethune,,,,we_love_to_sing_of_christ_our_king,,,,,,
"We stand in deep repentance","","",Ray Palmer,,,,we_stand_in_deep_repentance,,,,,,
"We would leave, O God, to thee","","",William Gaskell,,,,we_would_leave_o_god_to_thee,,,,,,
"What star is this, with beams so bright","What Star Is This, with Beams So Bright","",Charles Coffin,John Chandler,,,what_star_is_this_with_beams_so_bright,,,,,,
"When arise the thoughts of sin","","",William Gaskell,,,,when_arise_the_thoughts_of_sin,,,,,,
"When my love to God grows weak","When my Love to Christ [God] grows weak","",John Reynell Wreford,,,,when_my_love_to_god_grows_weak,,,,,,
"When the weary, seeking rest","When the Weary, Seeking Rest","hear then in love, O Lord, the cry",Horatius Bonar,,,,when_the_weary_seeking_rest,,,,,,
"Where the angel hosts adore thee","","",Isaac Williams,Jean Baptiste de Santeuil,,,where_the_angel_hosts_adore_thee,,,,,,
"While o'er the deep thy servants sail","While o'er the deep Thy servants sail","",George Burgess,,,,while_oer_the_deep_thy_servants_sail,,,,,,
"Yes, for me, for me He careth","The elder brother","",Horatius Bonar,,,,yes_for_me_for_me_he_careth,,,,,,
"Yet there is room: the Lamb's bright hall of song","","",Horatius Bonar,,,,yet_there_is_room_the_lambs_bright_hall_,,,,,,
